,Official Symbol Interactor A,Official Symbol Interactor B
0,PHB,E2F1
1,PHB,E2F1
2,PHB,HDAC1
3,PHB,E2F1
4,PHB,TP53
5,TP53,PHB
6,E2F1,PHB
7,TP53,PHB
8,PHB,ANXA2
9,PHB,ANXA2
10,PHB,ACTN1
11,PHB,ANXA2
12,HDAC1,PHB
13,NCOR1,PHB
14,SIN3A,PHB
15,PHB,E2F1
16,PHB,SMARCA4
17,PHB,SMARCA2
18,SMARCA4,PHB
19,SMARCA2,PHB
20,E2F1,PHB
21,PHB,E2F1
22,E2F1,PHB
23,PHB,RAF1
24,PHB,RB1
25,PHB,RAF1
26,RAF1,PHB
27,PHB,RBL2
28,RBL1,PHB
29,RB1,PHB
30,RBL2,PHB
31,RBL2,PHB
32,RBL1,PHB
33,RB1,PHB
34,BRE,PHB
35,MYOD1,PHB
36,CLN3,PHB
37,PHB,AR
38,RB1,PHB
39,HDAC1,PHB
40,MGMT,PHB
41,tat,PHB
42,E2F1,PHB
43,PHB,E2F1
44,PHB,SMARCA4
45,PHB,SMARCA2
46,SMARCA4,PHB
47,SMARCA2,PHB
48,PHB,ESR1
49,PHB2,PHB
50,PHB,PHB2
51,PHB,HDAC1
52,PHB,RNF2
53,RNF2,PHB
54,UBC,PHB
55,ICT1,PHB
56,CD4,PHB
57,HDAC5,PHB
58,AI837181,PHB
59,SKP2,PHB
60,CUL3,PHB
61,CDK2,PHB
62,SYNCRIP,PHB
63,PHB,UQCRC2
64,PHB,XPO1
65,XPO1,PHB
66,YWHAE,PHB
67,EPAS1,PHB
68,TRAF3IP1,PHB
69,FN1,PHB
70,VCAM1,PHB
71,C1QBP,PHB
72,ATF2,PHB
73,UBL4A,PHB
74,ITGA4,PHB
75,env,PHB
76,PHB,SLC25A5
77,PHB,RPL7
78,PHB,YWHAB
79,PHB,IPO11
80,PHB,VDAC2
81,PHB,RPS4X
82,PHB,COL9A2
83,PHB,IGHG1
84,PHB,CAPZA1
85,PHB,NPM1
86,PHB,ACTB
87,PHB,LMNA
88,PHB,SMG5
89,PHB,PLEC
90,PHB,GTF3C1
91,PHB,RAPH1
92,PHB,HSP90AB1
93,PHB,DBN1
94,PHB,PRKCD
95,PHB,YWHAZ
96,YWHAZ,PHB
97,PHB,RAF1
98,KRAS,PHB
99,RAF1,PHB
100,HDAC5,PHB
101,ADRB2,PHB
102,PHB,LONRF3
103,PHB,COX6C
104,PHB,NAP1L1
105,FBXO6,PHB
106,PARP1,PHB
107,STAU1,PHB
108,SPRTN,PHB
109,HUWE1,PHB
110,FUS,PHB
111,CUL7,PHB
112,OBSL1,PHB
113,CCDC8,PHB
114,SUZ12,PHB
115,EED,PHB
116,RNF2,PHB
117,RIC3,PHB
118,PHB,ATL3
119,PHB,BCAP29
120,PHB,BCAP31
121,AFG3L2,PHB
122,ATP1A1,PHB
123,ATP5B,PHB
124,ATP5L,PHB
125,CLTC,PHB
126,COX4I1,PHB
127,CYC1,PHB
128,DDOST,PHB
129,GOSR2,PHB
130,HSD17B10,PHB
131,HSD17B12,PHB
132,LMAN1,PHB
133,MTCH2,PHB
134,COX2,PHB
135,NDUFB4,PHB
136,OLA1,PHB
137,PHB2,PHB
138,RAB1A,PHB
139,RAB1B,PHB
140,RAB2A,PHB
141,SCAMP2,PHB
142,SSR1,PHB
143,STOML2,PHB
144,TAGLN2,PHB
145,TPD52,PHB
146,UQCRQ,PHB
147,VCP,PHB
148,VDAC1,PHB
149,VDAC2,PHB
150,VDAC3,PHB
151,PHB,SSR3
152,NTRK1,PHB
153,FAP,PHB
154,PHB,BCAS3
155,PHB,CASC3
156,PHB,CCL5
157,PHB,ST14
158,MED20,PHB
159,MED23,PHB
160,PTPN1,PHB
161,RAB2A,PHB
162,RAB5C,PHB
163,TMPO,PHB
164,RAB7A,PHB
165,AKAP1,PHB
166,RAB11A,PHB
167,VAPA,PHB
168,EMC2,PHB
169,MTX2,PHB
170,FGFR1OP2,PHB
171,GOLT1B,PHB
172,TMEM63B,PHB
173,YIPF5,PHB
174,MMGT1,PHB
175,Atp2a2,PHB
176,Bmpr1a,PHB
177,C1qbp,PHB
178,Eef1a1,PHB
179,Rab5c,PHB
180,Aifm1,PHB
181,Mtx2,PHB
182,Rab11a,PHB
183,Tmed2,PHB
184,Lima1,PHB
185,Rmdn3,PHB
186,Tmem109,PHB
187,NF2,PHB
188,ESRRB,PHB
189,U2AF2,PHB
190,ARMC7,PHB
191,ZNF746,PHB
192,RIC3,PHB
193,YIPF3,PHB
194,PHB,C11orf73
195,TPTE,PHB
196,PHB,STOM
197,CYLD,PHB
