,Official Symbol Interactor A,Official Symbol Interactor B
0,YWHAZ,CDC25A
1,YWHAZ,BCAR1
2,YWHAZ,KIF5B
3,YWHAZ,SAMD4B
4,YWHAZ,EPB41L3
5,YWHAZ,USP8
6,YWHAZ,DFFA
7,YWHAZ,BRAF
8,YWHAZ,KLC1
9,YWHAZ,PAK4
10,YWHAZ,TJP2
11,YWHAZ,TRA2B
12,YWHAZ,NOLC1
13,YWHAZ,RAI14
14,YWHAZ,RALGPS2
15,YWHAZ,EDC3
16,YWHAZ,KIAA0930
17,YWHAZ,KLC4
18,YWHAZ,NADK
19,YWHAZ,RPL31
20,YWHAZ,NCKAP1
21,YWHAZ,HNRNPL
22,YWHAZ,PABPC4
23,YWHAZ,LARP1
24,YWHAZ,SF3B1
25,YWHAZ,RAF1
26,Mlxipl,YWHAZ
27,YWHAZ,PRKCI
28,YWHAZ,PRKCZ
29,YWHAZ,PRKD1
30,YWHAZ,HDAC4
31,YWHAZ,REM1
32,YWHAZ,REM1
33,YWHAZ,REM1
34,REM1,YWHAZ
35,YWHAZ,RRAD
36,YWHAZ,XRCC6
37,YWHAZ,KIAA1377
38,TSC1,YWHAZ
39,TSC2,YWHAZ
40,YWHAZ,TSC2
41,YWHAZ,VIM
42,VIM,YWHAZ
43,VIM,YWHAZ
44,YWHAZ,YWHAZ
45,YWHAZ,YWHAZ
46,YWHAZ,RAF1
47,YWHAZ,RAF1
48,FOXO1,YWHAZ
49,YWHAZ,AANAT
50,YWHAZ,AANAT
51,YWHAZ,LIMK1
52,YWHAZ,LIMK1
53,HMGN1,YWHAZ
54,HMGN1,YWHAZ
55,YWHAZ,FOXO3
56,GP1BA,YWHAZ
57,GP1BB,YWHAZ
58,YWHAZ,TP53
59,YWHAZ,TP53
60,RAF1,YWHAZ
61,RAF1,YWHAZ
62,MAP3K5,YWHAZ
63,YWHAZ,GP1BA
64,GP1BA,YWHAZ
65,TNFAIP3,YWHAZ
66,YWHAZ,IL9R
67,YWHAZ,IL9R
68,CSF2RB,YWHAZ
69,CSF2RB,YWHAZ
70,CBL,YWHAZ
71,SYN2,YWHAZ
72,AKT1,YWHAZ
73,AKT1,YWHAZ
74,AKT1,YWHAZ
75,RAF1,YWHAZ
76,PRKCZ,YWHAZ
77,YWHAZ,BAD
78,YWHAZ,BAD
79,YWHAZ,INPP5A
80,YWHAZ,RGS3
81,PRKCE,YWHAZ
82,YWHAZ,PRKCE
83,YWHAZ,PRKCA
84,YWHAZ,PRKCD
85,TNFAIP3,YWHAZ
86,TNFAIP3,YWHAZ
87,TNFAIP3,YWHAZ
88,CDC25B,YWHAZ
89,YWHAZ,CDC25B
90,TERT,YWHAZ
91,LYST,YWHAZ
92,TPH1,YWHAZ
93,MAPT,YWHAZ
94,YWHAZ,MAPT
95,YWHAZ,GP1BB
96,YWHAZ,GP1BA
97,YWHAZ,GP1BB
98,YWHAZ,GP1BA
99,YWHAZ,GP1BB
100,YWHAZ,NFATC4
101,YWHAZ,RAF1
102,UCP2,YWHAZ
103,UCP3,YWHAZ
104,CDK16,YWHAZ
105,YWHAZ,BCAR1
106,BCAR1,YWHAZ
107,Usp8,YWHAZ
108,HRR25,YWHAZ
109,MEPCE,YWHAZ
110,HDAC7,YWHAZ
111,HDAC7,YWHAZ
112,YWHAZ,BAD
113,YWHAZ,EPB41L2
114,YWHAZ,HIVEP2
