,Official Symbol Interactor A,Official Symbol Interactor B
115,YWHAZ,LCP2
116,YWHAZ,LRMP
117,YWHAZ,MYH9
118,YWHAZ,SSFA2
119,YWHAZ,TNFAIP3
120,YWHAZ,TNS1
121,YWHAZ,YWHAE
122,ARAF,YWHAZ
123,MAP3K4,YWHAZ
124,PAK1,YWHAZ
125,MAP2K5,YWHAZ
126,MEF2C,YWHAZ
127,YWHAZ,YWHAZ
128,YWHAZ,MADD
129,YWHAZ,EIF3A
130,YWHAZ,HDAC9
131,YWHAZ,FAM65B
132,YWHAZ,KIAA0232
133,YWHAZ,CHAF1A
134,YWHAZ,MPHOSPH9
135,YWHAZ,COPS5
136,YWHAZ,SYNPO
137,YWHAZ,RAP1GAP2
138,YWHAZ,NEDD4L
139,YWHAZ,WWTR1
140,YWHAZ,FHOD1
141,YWHAZ,FAM13B
142,YWHAZ,FAM53C
143,YWHAZ,MSL2
144,YWHAZ,RMDN3
145,YWHAZ,ZNF839
146,YWHAZ,CENPJ
147,YWHAZ,RASAL3
148,YWHAZ,WNK1
149,YWHAZ,WNK2
150,YWHAZ,CGNL1
151,YWHAZ,SYNPO2
152,YWHAZ,SIMC1
153,YWHAZ,ING1
154,MGMT,YWHAZ
155,FAN1,YWHAZ
156,YWHAZ,SAMSN1
157,EXO1,YWHAZ
158,YWHAZ,EXO1
159,CHAF1A,YWHAZ
160,CHAF1A,YWHAZ
161,H2AFX,YWHAZ
162,H2AFX,YWHAZ
163,UCHL5,YWHAZ
164,PRKAA1,YWHAZ
165,YWHAZ,SIK3
166,YWHAZ,SIK1
167,YWHAZ,MARK3
168,Mapk13,YWHAZ
169,YWHAQ,YWHAZ
170,HDAC5,YWHAZ
171,YWHAZ,BAD
172,YWHAZ,ATP5A1
173,YWHAZ,BRAF
174,YWHAZ,DFFA
175,YWHAZ,ENO1
176,YWHAZ,HSPA1B
177,YWHAZ,KIF5B
178,YWHAZ,TRA2B
179,YWHAZ,TRIM21
180,YWHAZ,UBC
181,YWHAZ,USP8
182,YWHAZ,TJP2
183,YWHAZ,PAK4
184,YWHAZ,STK38
185,YWHAZ,TUBA3C
186,YWHAZ,EPB41L3
187,YWHAZ,LARP1
188,YWHAZ,SAMD4B
189,YWHAZ,RALGPS2
190,YWHAZ,ADORA3
191,YWHAZ,KLC4
192,YWHAZ,TUBB
193,YWHAZ,SNRPD2P1
194,YWHAZ,PARD3
195,YWHAZ,PRKCI
196,YWHAZ,PARD3
197,YWHAZ,PARD6A
198,YWHAZ,MARK3
199,YWHAZ,MARK2
200,YWHAZ,DCAF7
201,YWHAZ,PNMA2
202,YWHAZ,KIF23
203,YWHAZ,MARK1
204,YWHAZ,CYFIP1
205,YWHAZ,PNMA1
206,YWHAZ,DOCK7
207,YWHAZ,TUBG1
208,YWHAZ,CYFIP2
209,PARD3,YWHAZ
210,EGFR,YWHAZ
211,RFWD2,YWHAZ
212,RFWD2,YWHAZ
213,YWHAZ,RFWD2
214,YWHAZ,RFWD2
215,CDC5L,YWHAZ
216,DISC1,YWHAZ
217,OPTN,YWHAZ
218,GABARAPL2,YWHAZ
219,SH3GL1,YWHAZ
220,UBE3A,YWHAZ
221,PTPRO,YWHAZ
222,SNX24,YWHAZ
223,YWHAZ,KAT8
224,YWHAZ,YWHAE
225,YWHAZ,HIST1H3A
226,YWHAZ,HIST1H4A
227,YWHAE,YWHAZ
228,KAT8,YWHAZ
229,YWHAZ,KAT8
230,YWHAZ,TCEB3
231,YWHAZ,BRD4
232,YWHAZ,CDKN1B
233,HIST1H3A,YWHAZ
234,HIST1H3A,YWHAZ
235,YWHAZ,HIST1H3A
236,YWHAZ,HIST1H3A
237,YWHAZ,EXO1
238,YWHAZ,RAF1
239,YWHAZ,EXO1
240,ARRB1,YWHAZ
241,YWHAZ,BAD
242,YWHAZ,RAF1
243,YWHAZ,CBL
244,CUL3,YWHAZ
245,CUL2,YWHAZ
246,CDK2,YWHAZ
247,CUL1,YWHAZ
248,COPS5,YWHAZ
249,NEDD8,YWHAZ
250,PTPN14,YWHAZ
251,CTNNB1,YWHAZ
252,YWHAZ,CTNNB1
253,YWHAZ,PSMA5
254,MARK3,YWHAZ
255,YWHAZ,MARK3
256,YWHAZ,ZHX2
257,YWHAZ,SIK3
258,YWHAZ,ERRFI1
259,YWHAZ,AJUBA
260,YWHAZ,RAF1
261,YWHAZ,RAF1
262,YWHAZ,RAF1
263,YWHAZ,CBL
264,YWHAZ,MDM4
265,MEX3B,YWHAZ
266,ARHGEF2,YWHAZ
267,LRRK2,YWHAZ
268,AKT1,YWHAZ
269,GRK5,YWHAZ
270,RPS6KA5,YWHAZ
271,YWHAZ,APP
272,YWHAE,YWHAZ
273,YWHAZ,POTEKP
274,CDC25C,YWHAZ
275,PPP1R14A,YWHAZ
276,YWHAZ,CSNK1D
277,BARD1,YWHAZ
278,BRCA1,YWHAZ
279,ECT2,YWHAZ
280,MDC1,YWHAZ
281,TP53BP1,YWHAZ
282,HNF1A,YWHAZ
283,CTNNB1,YWHAZ
284,CTNNB1,YWHAZ
285,YWHAZ,CTNNB1
286,NCOR1,YWHAZ
287,VCP,YWHAZ
288,ITGB2,YWHAZ
289,ITGB2,YWHAZ
290,FN1,YWHAZ
291,VCAM1,YWHAZ
292,BRAF,YWHAZ
293,MAP2K1,YWHAZ
294,YWHAE,YWHAZ
295,GRB2,YWHAZ
296,TRIM32,YWHAZ
297,NOS2,YWHAZ
298,ITGA4,YWHAZ
299,gag-pol,YWHAZ
300,CBX4,YWHAZ
301,YWHAZ,RAF1
302,YWHAZ,ABL1
303,PHB,YWHAZ
304,YWHAZ,PHB
305,RAF1,YWHAZ
306,MST1R,YWHAZ
307,NPM1,YWHAZ
308,YWHAZ,PRMT5
309,MAPK7,YWHAZ
310,SOX2,YWHAZ
311,SQSTM1,YWHAZ
312,CDC25C,YWHAZ
313,YWHAZ,RAF1
314,RAD52,YWHAZ
315,HDAC4,YWHAZ
316,HDAC5,YWHAZ
317,HDAC7,YWHAZ
318,BAG3,YWHAZ
319,YWHAZ,BAG3
320,BAG3,YWHAZ
321,BAD,YWHAZ
322,EGFR,YWHAZ
323,GCH1,YWHAZ
324,YWHAZ,ZAK
325,TNFAIP3,YWHAZ
326,YWHAZ,ZAK
327,BAD,YWHAZ
328,EFNB3,YWHAZ
329,GCH1,YWHAZ
330,SSFA2,YWHAZ
331,PRDX2,YWHAZ
332,VCP,YWHAZ
333,YWHAE,YWHAZ
334,KLF11,YWHAZ
335,SORBS2,YWHAZ
336,PIAS1,YWHAZ
337,KIF1C,YWHAZ
338,TAB2,YWHAZ
339,RPRD1A,YWHAZ
340,SSX2IP,YWHAZ
341,Wwtr1,YWHAZ
342,Yap1,YWHAZ
343,YWHAZ,CDK11B
344,YWHAZ,CDK11B
345,TBXA2R,YWHAZ
346,TBXA2R,YWHAZ
347,TBXA2R,YWHAZ
348,FBXO6,YWHAZ
349,RASSF2,YWHAZ
350,SAV1,YWHAZ
351,YAP1,YWHAZ
352,YWHAB,YWHAZ
353,YWHAZ,LRRK2
354,YWHAZ,MARK3
355,YWHAZ,PRMT5
356,YWHAZ,OLA1
357,YWHAZ,MAPRE1
358,YWHAZ,PAK2
359,YWHAZ,PFAS
360,YWHAZ,SFN
361,YWHAZ,SNRPF
362,YWHAZ,VCL
363,YWHAZ,YWHAE
364,YWHAZ,YWHAG
365,YWHAZ,YWHAH
366,YWHAZ,YWHAQ
367,CAPNS1,YWHAZ
368,ECHS1,YWHAZ
369,EIF5,YWHAZ
370,ERP44,YWHAZ
371,FERMT2,YWHAZ
372,G6PD,YWHAZ
373,GINS4,YWHAZ
374,ISOC1,YWHAZ
375,LDHB,YWHAZ
376,SLC9A3R1,YWHAZ
377,SNRPE,YWHAZ
378,TGM2,YWHAZ
379,UBE2V1,YWHAZ
380,YWHAZ,ZFYVE19
381,YWHAZ,YWHAZ
382,WWOX,YWHAZ
383,IRS4,YWHAZ
384,IRS4,YWHAZ
385,STAU1,YWHAZ
386,SIK3,YWHAZ
387,SIK3,YWHAZ
388,SIK2,YWHAZ
389,MAPT,YWHAZ
390,SGK1,YWHAZ
391,YWHAZ,DDIT4
392,YWHAZ,TSC2
393,ABL1,YWHAZ
394,ABL1,YWHAZ
395,ABL1,YWHAZ
396,MAPK8,YWHAZ
397,YWHAZ,MAPT
398,DTL,YWHAZ
399,YWHAZ,DTL
400,HUWE1,YWHAZ
401,FUS,YWHAZ
402,ENO1,YWHAZ
403,SHMT2,YWHAZ
404,MOV10,YWHAZ
405,NXF1,YWHAZ
406,FAM65B,YWHAZ
407,YWHAZ,FAM65B
408,YWHAZ,MAPT
409,YWHAZ,YWHAZ
410,CUL7,YWHAZ
411,OBSL1,YWHAZ
412,BAD,YWHAZ
413,EGFR,YWHAZ
414,ABL1,YWHAZ
415,ARAF,YWHAZ
416,MAP3K5,YWHAZ
417,MARK3,YWHAZ
418,MAST1,YWHAZ
419,CDK16,YWHAZ
420,RAF1,YWHAZ
421,TNK1,YWHAZ
422,AKT1S1,YWHAZ
423,MTOR,YWHAZ
424,YWHAZ,CTNNB1
425,BTRC,YWHAZ
426,FBXW11,YWHAZ
427,KIAA0930,YWHAZ
428,CDCA7,YWHAZ
429,SFN,YWHAZ
430,NKD2,YWHAZ
431,TESPA1,YWHAZ
432,STAC,YWHAZ
433,FAM189A2,YWHAZ
434,DMTN,YWHAZ
435,YWHAZ,HNRNPA1
436,HSPB1,YWHAZ
437,UNK,YWHAZ
438,YWHAZ,PGK1
439,YWHAZ,YWHAB
440,YWHAZ,YWHAG
441,EIF4B,YWHAZ
442,NCAPD3,YWHAZ
443,SLK,YWHAZ
444,YWHAE,YWHAZ
445,YWHAH,YWHAZ
446,NTRK1,YWHAZ
447,EWSR1,YWHAZ
448,LCA5,YWHAZ
449,YWHAZ,YAP1
450,YWHAZ,BRAF
451,YWHAZ,CLK3
452,YWHAZ,COPB1
453,YWHAZ,MARK3
454,YWHAZ,PCNT
455,YWHAZ,PRCC
456,YWHAZ,PTPRA
457,YWHAZ,TP53BP2
458,YWHAZ,XPO1
459,YWHAZ,YWHAB
460,YWHAZ,YWHAE
461,YWHAZ,YWHAG
462,YWHAZ,YWHAH
463,CDC25B,YWHAZ
464,YWHAH,YWHAZ
465,MAP3K2,YWHAZ
466,YWHAZ,SMC1A
467,YWHAZ,AP3B1
468,YWHAZ,PRPF18
469,YWHAZ,IRS2
470,YWHAZ,SNRNP40
471,YWHAZ,CWC27
472,YWHAZ,SRSF8
473,YWHAZ,YWHAQ
474,YWHAZ,DNAJB4
475,YWHAZ,B4GALT7
476,YWHAZ,RAB11FIP2
477,YWHAZ,UHRF1BP1L
478,YWHAZ,MYCBP2
479,YWHAZ,NBEAL2
480,YWHAZ,PHF3
481,YWHAZ,NSL1
482,YWHAZ,TIMM13
483,YWHAZ,SEC61A1
484,YWHAZ,SDF4
485,YWHAZ,RBM27
486,YWHAZ,BDP1
487,YWHAZ,KLHL7
488,YWHAZ,RBM26
489,YWHAZ,COPS7B
490,YWHAZ,PCGF5
491,YWHAZ,SPIRE2
492,YWHAZ,SPRYD3
493,YWHAZ,HS6ST2
494,YWHAZ,PRR14L
495,YWHAZ,WDR62
496,YWHAZ,CCDC84
497,Yap1,YWHAZ
498,Cenpe,YWHAZ
499,EGFR,YWHAZ
500,EGFR,YWHAZ
501,CRY1,YWHAZ
502,MCM2,YWHAZ
503,Ksr1,YWHAZ
504,YWHAZ,PPFIBP1
505,YWHAZ,KIF11
506,YWHAZ,TBC1D4
507,YWHAZ,BAD
508,TBC1D4,YWHAZ
509,ATG9A,YWHAZ
510,EP300,YWHAZ
511,HDAC6,YWHAZ
512,ERRFI1,YWHAZ
513,U2AF2,YWHAZ
514,YWHAZ,MAPKAPK2
515,MAPKAPK2,YWHAZ
516,MAPKAPK2,YWHAZ
517,YWHAZ,YWHAZ
518,YWHAZ,RAF1
519,NFATC2,YWHAZ
520,CDC73,YWHAZ
521,YWHAZ,YWHAZ
522,CDH1,YWHAZ
523,YWHAZ,CEP131
524,YWHAZ,PCM1
525,YWHAZ,PCM1
526,YWHAZ,CEP131
527,CDC25C,YWHAZ
528,PPM1H,YWHAZ
529,PTPN3,YWHAZ
530,PTPN4,YWHAZ
531,CDC25A,YWHAZ
532,CDC25B,YWHAZ
533,MTMR4,YWHAZ
534,BRAF,YWHAZ
535,SMTNL2,YWHAZ
536,KIAA0930,YWHAZ
537,CGN,YWHAZ
538,SPATA13,YWHAZ
539,SAMD4A,YWHAZ
540,PLEKHG5,YWHAZ
541,PRICKLE3,YWHAZ
542,NKD2,YWHAZ
543,TESPA1,YWHAZ
544,RIN1,YWHAZ
545,SFN,YWHAZ
546,DMTN,YWHAZ
547,TFEB,YWHAZ
548,CDCA7,YWHAZ
549,FAM189A2,YWHAZ
550,PAK7,YWHAZ
551,REEP1,YWHAZ
552,FAM163A,YWHAZ
553,PAK6,YWHAZ
554,CRTC2,YWHAZ
555,RAB11FIP1,YWHAZ
556,RALGPS2,YWHAZ
557,STAC,YWHAZ
558,CDC25B,YWHAZ
559,FAM53C,YWHAZ
560,ABLIM1,YWHAZ
561,MDM4,YWHAZ
562,CDC25A,YWHAZ
563,EPB41L2,YWHAZ
564,SSH1,YWHAZ
565,ANKRD55,YWHAZ
566,SAMD4B,YWHAZ
567,ZNF397,YWHAZ
568,TEX33,YWHAZ
569,PTPDC1,YWHAZ
570,PTPN3,YWHAZ
571,PTPN4,YWHAZ
572,SSH1,YWHAZ
573,SLC9A1,YWHAZ
574,MTOR,YWHAZ
575,TUBA1A,YWHAZ
576,MTNR1A,YWHAZ
577,CYLD,YWHAZ
578,COQ2,YWHAZ
579,DLD,YWHAZ
580,DLST,YWHAZ
581,DNM1L,YWHAZ
582,PARK7,YWHAZ
583,SDHA,YWHAZ
584,SOAT1,YWHAZ
585,SOD1,YWHAZ
586,VDAC1,YWHAZ
587,GJA1,YWHAZ
