,Official Symbol Interactor A,Official Symbol Interactor B
0,AR,RAN
1,RAN,RANBP1
2,RAN,DIS3
3,YRB1,RAN
4,DIS3,RAN
5,NUTF2,RAN
6,RAN,XPO1
7,XPO6,RAN
8,SMARCB1,RAN
9,RAN,KIAA1377
10,NR3C1,RAN
11,NUP153,RAN
12,RAN,NEK9
13,NEK9,RAN
14,RANGRF,RAN
15,RCC1,RAN
16,RAN,RANBP1
17,RANBP1,RAN
18,RANBP2,RAN
19,RCC1,RAN
20,RANBP10,RAN
21,RANBP10,RAN
22,RAN,NUTF2
23,RAN,RCC1
24,RAN,XPO1
25,RANGRF,RAN
26,RANGRF,RAN
27,KPNB1,RAN
28,RAN,RANBP1
29,RCC1,RAN
30,RANBP9,RAN
31,KPNB1,RAN
32,RAN,TNPO1
33,RAN,XPO5
34,RAN,XPO5
35,XPO5,RAN
36,RANBP3,RAN
37,RANBP1,RAN
38,KPNB1,RAN
39,XPO1,RAN
40,RAN,XPOT
41,IPO5,RAN
42,RAN,ABL1
43,rna1,RAN
44,RANGAP1,RAN
45,RAN,RANGAP1
46,RAN,RANGAP1
47,RAN,TNPO2
48,RAN,TNPO1
49,RAN,NXF1
50,SNUPN,RAN
51,NTF2A,RAN
52,NTF2B,RAN
53,H2AFY,RAN
54,SLX1B,RAN
55,RANBP1,RAN
56,RAN,RCC1
57,RAN,RCC1
58,RAN,RANBP1
59,SIN3A,RAN
60,SMARCA2,RAN
61,TAF6,RAN
62,tat,RAN
63,RAN,RCC1
64,KPNB1,RAN
65,RCC1,RAN
66,PAK4,RAN
67,RAN,RANGAP1
68,RAN,XRCC1
69,RAN,NUTF2
70,RAN,RANBP1
71,Mapk13,RAN
72,HDAC5,RAN
73,Nup88,RAN
74,AI837181,RAN
75,Csnk1e,RAN
76,Ranbp2,RAN
77,Nup188,RAN
78,RAN,KPNB1
79,KPNB1,RAN
80,RAN,RANBP1
81,IPO13,RAN
82,RAD21,RAN
83,HDGF,RAN
84,UL27,RAN
85,XPO1,RAN
86,RAN,IPO7
87,RAN,XPOT
88,RAN,KPNB1
89,RAN,TNPO1
90,RAN,XPO7
91,RAN,XPO7
92,RAN,KPNB1
93,ELAVL1,RAN
94,RAN,ESR1
95,RAN,IPO13
96,RAPGEF3,RAN
97,RANBP2,RAN
98,KPNB1,RAN
99,KPNB1,RAN
100,RAN,RANBP2
101,RAN,RANBP1
102,RAN,RANBP2
103,ISG15,RAN
104,IPO11,RAN
105,BCAR1,RAN
106,IPO11,RAN
107,RAN,IPO11
108,TFAP4,RAN
109,CDK2,RAN
110,MAD2L2,RAN
111,MAD2L2,RAN
112,RAN,MAD2L2
113,NXF1,RAN
114,NUTF2,RAN
115,Nutf2,RAN
116,Nxt1,RAN
117,RAN,XPO4
118,RAN,IPO5
119,RAN,IPO7
120,RAN,XPOT
121,RAN,KPNB1
122,RAN,TNPO1
123,RAN,XPO1
124,RAN,RANBP1
125,KPNB1,RAN
126,RANBP1,RAN
127,KPNB1,RAN
128,RAN,XPO1
129,RAN,RCC1
130,RAN,TNPO1
131,NUTF2,RAN
132,RAN,TPR
133,RAN,RBM39
134,RAN,U2AF1
135,SF3B6,RAN
136,RAN,TRA2B
137,RAN,SON
138,EXOSC2,RAN
139,RAN,KPNA2
140,RAN,CSE1L
141,RAN,Ranbp1
142,EIF4A3,RAN
143,MAGOH,RAN
144,RPL7,RAN
145,FN1,RAN
146,VCAM1,RAN
147,ITGA4,RAN
148,CFTR,RAN
149,RAN,XPO5
150,PAN2,RAN
151,RAN,rna1
152,RAN,RANBP1
153,PTMA,RAN
154,ADRB2,RAN
155,RAN,RANBP2
156,RAN,RGPD5
157,RAN,PFDN4
158,rev,RAN
159,ASB2,RAN
160,ASB16,RAN
161,ADRB2,RAN
162,RANBP2,RAN
163,RANBP9,RAN
164,STAU1,RAN
165,FUS,RAN
166,RAN,NUTF2
167,MSL1,RAN
168,NUPR1,RAN
169,XPO1,RAN
170,RAN,HERC5
171,CUL7,RAN
172,OBSL1,RAN
173,SUZ12,RAN
