,Official Symbol Interactor A,Official Symbol Interactor B
174,EED,RAN
175,RNF2,RAN
176,IKBKB,RAN
177,ILK,RAN
178,TYK2,RAN
179,RAN,Rangap1
180,KPNB1,RAN
181,IPO7,RAN
182,RCC1,RAN
183,RAN,BIRC5
184,BIRC5,RAN
185,BIRC5,RAN
186,RAN,AGL
187,RAN,EIF6
188,RAN,EXOSC2
189,RAN,IPO7
190,RAN,IPO9
191,RAN,KPNA5
192,RAN,NUTF2
193,ACTG1,RAN
194,CSE1L,RAN
195,DIS3,RAN
196,EIF3I,RAN
197,IPO5,RAN
198,KPNA1,RAN
199,KPNA6,RAN
200,KPNB1,RAN
201,NUP153,RAN
202,PSMA4,RAN
203,PSMB5,RAN
204,RANBP1,RAN
205,RANBP3,RAN
206,RCC1,RAN
207,SKIV2L,RAN
208,TNPO1,RAN
209,RAN,RANBP2
210,RAN,RANBP6
211,RAN,XPO1
212,NTRK1,RAN
213,KMT2A,RAN
214,HIST1H3E,RAN
215,PPME1,RAN
216,KPNB1,RAN
217,PAX6,RAN
218,UBE2I,RAN
219,NUP153,RAN
220,KIF1C,RAN
221,KIF3A,RAN
222,CCDC88A,RAN
223,NUP107,RAN
224,CEP170P1,RAN
225,Ranbp1,RAN
226,Ranbp2,RAN
227,Ube2i,RAN
228,Immt,RAN
229,Rcc1,RAN
230,Nup107,RAN
231,Nup98,RAN
232,CRY2,RAN
233,U2AF2,RAN
234,RC3H1,RAN
235,EIF2S2,RAN
236,CDC73,RAN
237,CRM1,RAN
238,YRB1,RAN
239,CDH1,RAN
240,RAN,RGPD2
241,RAN,RGPD8
242,AKIRIN2,RAN
243,RAN,RANGRF
244,RAN,RGPD5
245,RAN,RCC1
246,RAN,TMEM194B
247,RAN,DLGAP5
248,RAN,RANBP2
249,RAN,CDCA2
250,RAN,RANGAP1
251,RAN,NUP153
252,RAN,TMEM194A
253,RAN,NUP214
254,RAN,NUTF2
255,RAN,KPNB1
256,RAN,AKIRIN1
257,RAN,NUP62
258,RAN,IPO9
259,RAN,KPNA4
260,UBE2I,RAN
261,RAN,IKBIP
262,CYLD,RAN
