,Official Symbol Interactor A,Official Symbol Interactor B
0,MCC,PFKP
1,DMWD,PFKP
2,GBAS,PFKP
3,WIPI2,PFKP
4,SIRT7,PFKP
5,PARD3,PFKP
6,FBXO25,PFKP
7,TERF1,PFKP
8,TINF2,PFKP
9,ACD,PFKP
10,POT1,PFKP
11,CUL3,PFKP
12,COPS5,PFKP
13,PFKL,PFKP
14,PFKM,PFKP
15,PFKP,TMPO
16,PFKP,EPRS
17,FN1,PFKP
18,ITGA4,PFKP
19,CD81,PFKP
20,SOX2,PFKP
21,HDAC6,PFKP
22,EGFR,PFKP
23,PFKP,WNK1
24,AGO2,PFKP
25,HIPK4,PFKP
26,MAPK4,PFKP
27,FBXO6,PFKP
28,PFKP,CRYZ
29,PFKP,PCBP1
30,EEF1A1,PFKP
31,PFKM,PFKP
32,PFKP,PPIB
33,PFKP,TUBB4B
34,PFKP,VAT1
35,rev,PFKP
36,ILK,PFKP
37,EGFR,PFKP
38,CUL7,PFKP
39,CCDC8,PFKP
40,FAF2,PFKP
41,PFKP,ALDH16A1
42,PFKP,ARFIP1
43,PFKP,ARHGAP1
44,PFKP,CCDC22
45,PFKP,DNAJC9
46,PFKP,EEF1A1
47,PFKP,MCFD2
48,PFKP,MCMBP
49,PFKP,MTHFD1
50,PFKP,NMD3
51,PFKP,NPEPL1
52,PFKP,OXSR1
53,ARHGDIA,PFKP
54,CDA,PFKP
55,COMMD4,PFKP
56,ELAC2,PFKP
57,FUS,PFKP
58,METTL13,PFKP
59,PYGL,PFKP
60,RSU1,PFKP
61,UBA6,PFKP
62,PFKP,PKM
63,PFKP,PLCG1
64,PFKP,PSMG1
65,PFKP,PTPN6
66,PFKP,SAMD9
67,PFKP,SNW1
68,PFKP,TMPO
69,PFKP,TXLNA
70,NTRK1,PFKP
71,Mad2l1,PFKP
72,SKI,PFKP
73,MCM2,PFKP
74,SNW1,PFKP
75,CDC5L,PFKP
76,EID1,PFKP
77,RNF126,PFKP
78,SENP3,PFKP
79,Ostm1,PFKP
80,CDH1,PFKP
81,NELL1,PFKP
82,PFKL,PFKP
83,PFKP,PFKM
84,IFT122,PFKP
85,WDR19,PFKP
