,Official Symbol Interactor A,Official Symbol Interactor B
0,LRP1,CANX
1,CANX,APOB
2,CANX,EDEM1
3,PIGK,CANX
4,LCT,CANX
5,CALR,CANX
6,CD1D,CANX
7,EBI3,CANX
8,CD3D,CANX
9,ITGB1,CANX
10,F8,CANX
11,CANX,TF
12,SLC6A4,CANX
13,CANX,TSHR
14,SLC2A1,CANX
15,SLC4A1,CANX
16,CANX,LPA
17,CANX,LPA
18,SVIP,CANX
19,BSCL2,CANX
20,APOB,CANX
21,ZNRF4,CANX
22,CANX,ZNRF4
23,Mapk13,CANX
24,HDAC5,CANX
25,AI837181,CANX
26,Tor1aip1,CANX
27,AMFR,CANX
28,L1CAM,CANX
29,NDRG1,CANX
30,NDRG1,CANX
31,ELAVL1,CANX
32,SIRT7,CANX
33,TCF3,CANX
34,UBXN4,CANX
35,UBXN4,CANX
36,CUL3,CANX
37,CAND1,CANX
38,CANX,Edem1
39,POMP,CANX
40,LMAN1,CANX
41,EDEM1,CANX
42,OPRD1,CANX
43,EDEM1,CANX
44,CANX,CHRNA5
45,LPA,CANX
46,CFTR,CANX
47,CANX,SERPINF2
48,CANX,KCNH2
49,BCAP31,CANX
50,UBXN6,CANX
51,TOR1A,CANX
52,CANX,PRKCSH
53,CANX,GANAB
54,CANX,RPN2
55,KCNH2,CANX
56,CANX,ASGR1
57,VCP,CANX
58,PKD2,CANX
59,LDLR,CANX
60,CANX,SERPINA1
61,BCAP31,CANX
62,CSNK2A1,CANX
63,PGRMC1,CANX
64,ATF2,CANX
65,MTNR1A,CANX
66,SMURF2,CANX
67,UBL4A,CANX
68,env,CANX
69,CFTR,CANX
70,YIPF3,CANX
71,CLN5,CANX
72,CANX,PDIA3
73,ADRB2,CANX
74,PTGIR,CANX
75,FBXO6,CANX
76,RPA3,CANX
77,RPA2,CANX
78,RPA1,CANX
79,WWOX,CANX
80,NPHS1,CANX
81,CANX,NPHS1
82,NPHS1,CANX
83,LGR4,CANX
84,STAU1,CANX
85,TOR1A,CANX
86,HUWE1,CANX
87,ERLIN2,CANX
88,TRAF6,CANX
89,PMP22,CANX
90,CUL7,CANX
91,CCDC8,CANX
92,SUZ12,CANX
93,RNF2,CANX
94,BMI1,CANX
95,EGFR,CANX
96,FOXRED2,CANX
97,EMC1,CANX
98,EDEM1,CANX
99,PPT1,CANX
100,FAM187B,CANX
101,TOR1A,CANX
102,OGFOD3,CANX
103,POMK,CANX
104,POGLUT1,CANX
105,WNT3A,CANX
106,CHST8,CANX
107,PLTP,CANX
108,CHST9,CANX
109,HNRNPA1,CANX
110,CANX,ABCC1
111,CANX,ABCC3
112,CANX,ATP13A1
113,ACADM,CANX
114,APMAP,CANX
115,ATL3,CANX
116,ATP1B1,CANX
117,ATP2B1,CANX
118,ATP2B3,CANX
119,ATP2B4,CANX
120,CCT4,CANX
121,DARS,CANX
122,DDOST,CANX
123,DNAJA1,CANX
124,EPRS,CANX
125,HSP90AA1,CANX
126,KPNA3,CANX
127,KPNA4,CANX
128,LMAN1,CANX
129,PDIA6,CANX
130,PPP2R1A,CANX
131,PTBP1,CANX
132,RAB2A,CANX
133,RPN1,CANX
134,RPS5,CANX
135,SEC61B,CANX
136,SLC25A3,CANX
137,TECR,CANX
138,CANX,CCT3
139,CANX,CCT6A
140,CANX,CLTC
141,CANX,COPB1
142,CANX,CYC1
143,CANX,ETFA
