,Official Symbol Interactor A,Official Symbol Interactor B
144,CANX,HSP90B1
145,CANX,IDH3A
146,CANX,IPO9
147,CANX,KDSR
148,CANX,KPNA2
149,CANX,MOGS
150,CANX,COX2
151,CANX,NCLN
152,CANX,PC
153,CANX,PSMC2
154,CANX,RAB1A
155,CANX,RAB1B
156,CANX,RCN1
157,CANX,RPN2
158,CANX,SPTAN1
159,CANX,TUFM
160,CANX,UQCRC2
161,CANX,VCP
162,NTRK1,CANX
163,EWSR1,CANX
164,MDM2,CANX
165,TCTN2,CANX
166,TCTN3,CANX
167,TCTN1,CANX
168,CLU,CANX
169,GBA,CANX
170,LNPEP,CANX
171,ATXN3,CANX
172,SLC33A1,CANX
173,CHST15,CANX
174,RFWD3,CANX
175,CHMP4B,CANX
176,Itgb1,CANX
177,Prkacb,CANX
178,Ncstn,CANX
179,Tor1aip1,CANX
180,Spire2,CANX
181,CD3D,CANX
182,EDEM1,CANX
183,EDEM2,CANX
184,EGFR,CANX
185,ERBB3,CANX
186,ESRRB,CANX
187,GABRA1,CANX
188,U2AF2,CANX
189,CANX,GGT1
190,TMEM258,CANX
191,CDC73,CANX
192,DERL1,CANX
193,EGFR,CANX
194,PTPRN,CANX
195,ACP5,CANX
196,CD1E,CANX
197,P2RX2,CANX
198,CLEC2D,CANX
199,BRINP2,CANX
200,GXYLT1,CANX
201,CHST15,CANX
202,NRROS,CANX
203,CHST6,CANX
204,OGFOD3,CANX
205,TMEM5,CANX
206,FAM187B,CANX
207,LIPG,CANX
208,HYAL3,CANX
209,ADAM21,CANX
210,UST,CANX
211,CD1B,CANX
212,CHST8,CANX
213,PLTP,CANX
214,DPEP3,CANX
215,DNASE2,CANX
216,GABRG2,CANX
217,ADAM30,CANX
218,P2RX5,CANX
219,TMPRSS11B,CANX
220,CHST9,CANX
221,AMIGO3,CANX
222,IL27RA,CANX
223,MPPE1,CANX
224,CPA5,CANX
225,DCT,CANX
226,ST3GAL2,CANX
227,WNT16,CANX
228,POGLUT1,CANX
229,OPCML,CANX
230,GAL3ST1,CANX
231,FUCA2,CANX
232,POMK,CANX
233,C12orf49,CANX
234,NCEH1,CANX
235,WNT3A,CANX
236,SMPD1,CANX
237,B3GNT3,CANX
238,CCNJL,CANX
239,AGT,CANX
240,ARSG,CANX
241,FUT9,CANX
242,TOR3A,CANX
243,A4GALT,CANX
244,IGSF6,CANX
245,TRHDE,CANX
246,GPR114,CANX
247,TMPRSS3,CANX
248,SERPINA5,CANX
249,SCNN1D,CANX
250,CHST14,CANX
251,TMED6,CANX
252,WNT7A,CANX
253,ST8SIA3,CANX
254,PTPRA,CANX
255,PTPRE,CANX
256,PTPRN,CANX
257,PTPRO,CANX
258,SLC9A1,CANX
259,MTNR1A,CANX
260,MTNR1B,CANX
261,COX15,CANX
262,DLST,CANX
263,SDHA,CANX
264,SOAT1,CANX
265,VDAC1,CANX
