,Official Symbol Interactor A,Official Symbol Interactor B
169,STUB1,HSP90AA1
170,HSP90AA1,CFTR
171,HSP90AA1,TP53
172,ESR1,HSP90AA1
173,ESR2,HSP90AA1
174,JAK2,HSP90AA1
175,HSP90AB1,HSP90AA1
176,STUB1,HSP90AA1
177,HES1,HSP90AA1
178,RAF1,HSP90AA1
179,HSP90AA1,HSPA8
180,HSP90AA1,PTGES3
181,CUL5,HSP90AA1
182,CUL5,HSP90AA1
183,ERBB2,HSP90AA1
184,PI4K2B,HSP90AA1
185,PI4K2A,HSP90AA1
186,H2AFX,HSP90AA1
187,STUB1,HSP90AA1
188,HSP90AA1,STUB1
189,HSP90AA1,APP
190,HSP90AA1,STUB1
191,HSP90AA1,AKT1
192,FGFR3,HSP90AA1
193,HSP90AA1,HIF1A
194,USP50,HSP90AA1
195,RARRES3,HSP90AA1
196,HSP90AA1,RARRES3
197,STUB1,HSP90AA1
198,CDK5R1,HSP90AA1
199,STUB1,HSP90AA1
200,SENP3,HSP90AA1
201,HSP90AA1,SENP3
202,ERBB2,HSP90AA1
203,ESR1,HSP90AA1
204,PRKAA1,HSP90AA1
205,AGO4,HSP90AA1
206,CD4,HSP90AA1
207,HSP90AA1,BCR
208,HSP90AA1,ABL1
209,HIF1A,HSP90AA1
210,HSP90AA1,HIF1A
211,MAP3K3,HSP90AA1
212,HSP90AA1,MAP3K3
213,STUB1,HSP90AA1
214,HDAC5,HSP90AA1
215,AR,HSP90AA1
216,MYOCD,HSP90AA1
217,STUB1,HSP90AA1
218,STUB1,HSP90AA1
219,STUB1,HSP90AA1
220,HSP90AA1,STIP1
221,MDM2,HSP90AA1
222,STUB1,HSP90AA1
223,DYRK2,HSP90AA1
224,STK11,HSP90AA1
225,PRKCI,HSP90AA1
226,Ksr1,HSP90AA1
227,Ksr1,HSP90AA1
228,HSP90AA1,LRRK2
229,LRRK2,HSP90AA1
230,HSP90AA1,HIF1A
231,FBXW8,HSP90AA1
232,TOM70,HSP90AA1
233,TOM70,HSP90AA1
234,HSP90AA1,BCR
235,HSP90AA1,ABL1
236,HLA-DRA,HSP90AA1
237,HLA-DRB1,HSP90AA1
238,HLA-DRB3,HSP90AA1
239,HLA-DRB4,HSP90AA1
240,HLA-DRB5,HSP90AA1
241,EBNA-LP,HSP90AA1
242,MAP3K7,HSP90AA1
243,PSMA3,HSP90AA1
244,Nos1,HSP90AA1
245,GBA,HSP90AA1
246,EIF2AK1,HSP90AA1
247,SVIL,HSP90AA1
248,CALM1,HSP90AA1
249,HSP90AA1,PPP5C
250,HSP90AA1,NR3C1
251,HSP90AA1,TERT
252,HSP90AA1,HSF1
253,NOS3,HSP90AA1
254,HSP90AA1,NOS3
255,NTRK1,HSP90AA1
256,STUB1,HSP90AA1
257,FKBPL,HSP90AA1
258,HSP90AA1,CDKN1A
259,HSP90AA1,FKBPL
260,AR,HSP90AA1
261,HSP90AA1,BECN1
262,BCL2,HSP90AA1
263,HSP90AA1,BCL2
264,HSP90AA1,CHEK1
265,HSP90AA1,ATR
266,ATR,HSP90AA1
267,REV1,HSP90AA1
268,HSP90AA1,REV1
269,HSP90AA1,SUGT1
270,HSP90AA1,SKP1
271,HSP90AA1,STUB1
272,Dnajc7,HSP90AA1
273,Stub1,HSP90AA1
274,Crnkl1,HSP90AA1
275,PPIL2,HSP90AA1
276,HIF1A,HSP90AA1
277,HIF1A,HSP90AA1
278,LCK,HSP90AA1
279,FYN,HSP90AA1
280,FKBP8,HSP90AA1
281,HSP90AA1,FKBP8
282,NDRG1,HSP90AA1
283,RAD21,HSP90AA1
284,SMYD2,HSP90AA1
285,CDC73,HSP90AA1
286,CDK9,HSP90AA1
287,HSP90AA1,ERBB2
288,HSP90AA1,CDK4
289,HSP90AA1,SRC
290,HSP90AA1,AHSA1
291,HSP90AA1,STIP1
292,HSP90AA1,PTGES3
293,HSP90AA1,CDC37
294,HSP90AA1,AHSA1
295,SIRT1,HSP90AA1
296,ARRB1,HSP90AA1
297,SLC2A4,HSP90AA1
298,HSP90AA1,CHUK
299,EGFR,HSP90AA1
300,ALG2,HSP90AA1
301,STUB1,HSP90AA1
302,MKKS,HSP90AA1
303,STUB1,HSP90AA1
304,STUB1,HSP90AA1
305,RCAN1,HSP90AA1
306,CFTR,HSP90AA1
307,CFTR,HSP90AA1
308,ISG15,HSP90AA1
309,HSP90AA1,MAP3K14
310,SUGT1,HSP90AA1
311,PTGES3,HSP90AA1
312,SUGT1,HSP90AA1
313,RNF114,HSP90AA1
314,PINK1,HSP90AA1
315,POLH,HSP90AA1
316,HSP90AA1,POLH
317,HSP90AA1,POLH
318,TNK2,HSP90AA1
319,TNK2,HSP90AA1
320,HSF1,HSP90AA1
321,NLRP3,HSP90AA1
322,SUGT1,HSP90AA1
323,NLRP2,HSP90AA1
324,NOD1,HSP90AA1
325,NLRP4,HSP90AA1
326,MIF,HSP90AA1
327,ESR1,HSP90AA1
328,UCHL1,HSP90AA1
329,TERT,HSP90AA1
330,UCHL1,HSP90AA1
331,STK11,HSP90AA1
332,STRADA,HSP90AA1
333,HSP90AA1,KCNH2
334,HSP90AA1,HIF1A
335,HSP90AA1,EPAS1
336,HSP90AA1,HIF3A
337,HIF1A,HSP90AA1
338,HIF1A,HSP90AA1
339,HSP90AA1,TGFBR2
340,TGFBR2,HSP90AA1
341,TGFBR1,HSP90AA1
342,HSP90AA1,TGFBR1
343,HSP90AA1,PIWIL2
344,PIWIL2,HSP90AA1
345,MDM2,HSP90AA1
346,CFTR,HSP90AA1
347,TP53,HSP90AA1
348,HSP90AA1,ESR1
349,HSP90AA1,Ppard
350,HSP90AA1,Pparg
351,HSP90AA1,Ppara
352,HSP90AA1,PPARA
353,HSP90AA1,PPARD
354,STK36,HSP90AA1
355,GSK3B,HSP90AA1
356,CSNK1A1,HSP90AA1
357,CSNK2A1,HSP90AA1
358,HSP90AA1,HOPX
359,HSP90AA1,STUB1
360,CUL3,HSP90AA1
361,CUL4A,HSP90AA1
362,CUL4B,HSP90AA1
363,CUL5,HSP90AA1
364,CUL2,HSP90AA1
365,CDK2,HSP90AA1
366,CUL1,HSP90AA1
367,COPS5,HSP90AA1
368,COPS6,HSP90AA1
369,DCUN1D1,HSP90AA1
370,CAND1,HSP90AA1
371,NEDD8,HSP90AA1
372,HSP90AA1,MDM2
373,HSP90AA1,TP53
374,STUB1,HSP90AA1
375,HSP90AA1,STUB1
376,MDM2,HSP90AA1
377,MDM2,HSP90AA1
378,GRK6,HSP90AA1
379,PPP2R1A,HSP90AA1
380,MID1,HSP90AA1
381,EEF1A1,HSP90AA1
382,MET,HSP90AA1
383,STUB1,HSP90AA1
384,HDAC8,HSP90AA1
385,BRMS1,HSP90AA1
386,IKBKB,HSP90AA1
387,DSN1,HSP90AA1
388,HSP90AA1,NSL1
389,HSP90AA1,PMF1
390,HSP90AA1,MIS12
391,BCL6,HSP90AA1
392,HSP90AA1,BCL6
393,IRAK1,HSP90AA1
394,CDC37,HSP90AA1
395,IRAK1,HSP90AA1
396,IRAK1,HSP90AA1
397,BLM,HSP90AA1
398,TERF2,HSP90AA1
399,TERF2,HSP90AA1
400,HSP90AA1,BLM
401,HSP90AA1,TERF2
402,FKBP4,HSP90AA1
403,NUDC,HSP90AA1
404,PAFAH1B1,HSP90AA1
405,PAFAH1B1,HSP90AA1
406,SUGT1,HSP90AA1
407,SUGT1,HSP90AA1
408,PINK1,HSP90AA1
409,PINK1,HSP90AA1
410,NUDCD2,HSP90AA1
411,PAFAH1B1,HSP90AA1
412,HSP90AA1,STUB1
413,HSP90AA1,FKBP5
414,HSP90AA1,FKBP4
415,HSP90AA1,PPP5C
416,HSP90AA1,DNAJC7
417,HSP90AA1,AIP
418,HSP90AA1,PTGES3
419,HSP90AA1,PPID
420,TARDBP,HSP90AA1
421,HSPA4,HSP90AA1
422,LRRK2,HSP90AA1
423,LRRK2,HSP90AA1
424,LRRK2,HSP90AA1
425,LRRK2,HSP90AA1
426,LRRK2,HSP90AA1
427,SNRPE,HSP90AA1
428,LRRK2,HSP90AA1
429,LRRK2,HSP90AA1
430,EGFR,HSP90AA1
431,TUBG1,HSP90AA1
432,HSP90AA1,SP1
433,HIF1A,HSP90AA1
434,HSP90AA1,HIF1A
435,HSP90AA1,BCL2
436,SP1,HSP90AA1
437,PINK1,HSP90AA1
438,PINK1,HSP90AA1
439,ACVRL1,HSP90AA1
440,TGFBR1,HSP90AA1
441,AKT1,HSP90AA1
442,CDK4,HSP90AA1
443,PIM1,HSP90AA1
444,HSP90AA1,PIM1
445,STK33,HSP90AA1
446,STK33,HSP90AA1
447,GRK5,HSP90AA1
448,TERT,HSP90AA1
449,HSP90AA1,Tgfbr2
450,HSP90AA1,APAF1
451,MDM2,HSP90AA1
452,TYMP,HSP90AA1
453,HSP90AA1,TYMP
454,NOX5,HSP90AA1
455,UBASH3B,HSP90AA1
456,GRB2,HSP90AA1
457,SHC1,HSP90AA1
458,HSP90AA1,CDC37
459,HSP90AA1,STIP1
460,HSP90AA1,PTGES3
461,IP6K2,HSP90AA1
462,IP6K2,HSP90AA1
463,MTRNR2L1,HSP90AA1
464,FBXO6,HSP90AA1
465,HSP90AA1,NR3C1
466,HSP90AA1,SNCA
467,IRF3,HSP90AA1
468,IRF3,HSP90AA1
469,HSP90AA1,IRF3
470,HSP90AA1,TBK1
471,AR,HSP90AA1
472,PACRG,HSP90AA1
473,PACRG,HSP90AA1
474,PARK2,HSP90AA1
475,NOS3,HSP90AA1
476,HSP90AA1,NOS3
477,HSP90AA1,HNRNPA1
478,HSP90AA1,RPS15A
479,HSP90AA1,NCL
480,SLC25A5,HSP90AA1
481,HSP90AA1,RPL7
482,HSP90AA1,RPL17
483,HSP90AB3P,HSP90AA1
484,TUFM,HSP90AA1
485,HSP90AA1,SSR3
486,HSP90AA1,RPL32
487,HSP90AA1,RPL5
488,HSP90AA1,RPS16
489,HSP90AA1,TXNDC5
490,HSP90AA1,RPS20
491,HSP90AA1,MARCKS
492,HSP90AA5P,HSP90AA1
493,HSP90AA1,RPL3
494,HSP90AB2P,HSP90AA1
495,HSP90AA1,LMAN1
496,HSP90AA1,SUPT5H
497,HSP90AA1,RPL23A
498,HSP90AA1,RPL29
499,KCNH2,HSP90AA1
500,WASL,HSP90AA1
501,HSP90AA1,NLRP12
502,STUB1,HSP90AA1
503,CFLAR,HSP90AA1
504,EGFR,HSP90AA1
505,EGFR,HSP90AA1
506,CCT2,HSP90AA1
507,VCP,HSP90AA1
508,STUB1,HSP90AA1
509,STUB1,HSP90AA1
510,STUB1,HSP90AA1
511,FKBP8,HSP90AA1
512,HSP90AA1,FKBP8
513,FKBP8,HSP90AA1
514,TRAF3IP1,HSP90AA1
515,HSP90AA1,HSP90AB1
516,HSP90AA1,STIP1
517,HSP90AA1,FKBP5
518,HSP90AA1,CDC37
519,HSP90AA1,STUB1
520,HSP90AA1,MYLK2
521,HSP90AA1,CCDC117
522,HSP90AA1,TTC9C
523,HSP90AA1,TTC4
524,HSP90AA1,DNAJC7
525,HSP90AA1,PLCE1
526,HSP90AA1,CDK11A
527,HSP90AA1,PPP2R1A
528,HSP90AA1,EFTUD2
529,HSP90AA1,CNOT6
530,HSP90AA1,PRPF8
531,HSP90AA1,CHUK
532,HSP90AA1,FLII
533,HSP90AA1,CALD1
534,HSP90AA1,PPP5C
535,HSP90AA1,USP19
536,HSP90AA1,SUGT1
537,HSP90AA1,AHSA1
538,HSP90AA1,NUDC
539,HSP90AA1,NUDCD3
540,HSP90AA1,PTGES3
541,HSP90AA1,CSNK1A1
542,HSP90AA1,UNC45A
543,HSP90AA1,FAM83H
544,HSP90AA1,CACYBP
545,HSP90AA1,TAB1
546,HSP90AA1,TAB2
547,HSP90AA1,CEP97
548,HSP90AA1,IKBKG
549,HSP90AA1,DYNC1H1
550,HSP90AA1,SCRIB
551,HSP90AA1,PRR14L
552,HSP90AA1,CHORDC1
553,HSP90AA1,EDRF1
554,HSP90AA1,HSPA8
555,HSP90AA1,FKBP4
556,HSP90AA1,TOMM34
557,HSP90AA1,BAG2
558,HSP90AA1,ST13
559,HSP90AA1,POLR2E
560,HSP90AA1,RPAP3
561,HSP90AA1,SNRNP200
562,HSP90AA1,PIH1D1
563,HSP90AA1,URI1
564,HSP90AA1,MLF2
565,HSP90AA1,CDC37L1
566,HSP90AA1,YTHDC2
567,HSP90AA1,NR3C1
568,HSP90AA1,HSPA7
569,HSP90AA1,HSPA6
570,HSP90AA1,HSPA5
571,HSP90AA1,HSPA2
572,HSP90AA1,HSPA1L
573,HSP90AA1,HSPA1A
574,HSP90AA1,HSPA9
575,HSP90AA1,CHORDC1
576,HSP90AA1,CHORDC1
577,HIF1A,HSP90AA1
578,KCNQ4,HSP90AA1
579,HSP90AA1,KCNQ4
580,SUGT1,HSP90AA1
581,SUGT1,HSP90AA1
582,HSP90AA1,SUGT1
583,HSP90AA1,RAF1
584,CHEK1,HSP90AA1
585,HSP90AA1,HSPA1A
586,HSP90AA1,TCP1
587,HSP90AA1,HSPH1
588,HSP90AA1,PRKDC
589,HSP90AA1,GNAI2
590,HSP90AA1,XPO1
591,HSP90AA1,PKM
592,HSP90AA1,GAPDH
593,HSP90AA1,PGK1
594,HSP90AA1,LDHA
595,HSP90AA1,ALDOA
596,HSP90AA1,MDH1
597,HSP90AA1,MTHFD1
598,HSP90AA1,PSAT1
599,HSP90AA1,FASN
600,HSP90AA1,NANS
601,HSP90AA1,ACTG1
602,HSP90AA1,TPM3
603,HSP90AA1,FLNA
604,HSP90AA1,MYH9
605,HSP90AA1,SPTAN1
606,HSP90AA1,NUMA1
607,HSP90AA1,ACTN1
608,HSP90AA1,UBA1
609,HSP90AA1,PSMD1
610,HSP90AA1,PSMB5
611,HSP90AA1,AARS
612,HSP90AA1,EEF2
613,HSP90AA1,EIF3H
614,HSP90AA1,RPLP0
615,HSP90AA1,RPS6
616,HSP90AA1,RPS4X
617,HSP90AA1,RPL7
618,HSP90AA1,RPS3A
619,HSP90AA1,RPL5
620,HSP90AA1,C12orf10
621,HSP90AA1,IARS2
622,HSP90AA1,RPSA
623,RAF1,HSP90AA1
624,FN1,HSP90AA1
625,VCAM1,HSP90AA1
626,HSP90AA1,AMHR2
627,HSP90AA1,ICK
628,HSP90AA1,PSKH1
629,HSP90AA1,FYN
630,HSP90AA1,EIF2AK2
631,HSP90AA1,ARAF
632,HSP90AA1,FER
633,HSP90AA1,PSKH2
634,HSP90AA1,PKN2
635,HSP90AA1,PINK1
636,HSP90AA1,RAF1
637,HSP90AA1,MAST2
638,HSP90AA1,PRKACB
639,HSP90AA1,CDK15
640,HSP90AA1,LIMK2
641,HSP90AA1,MAP3K14
642,HSP90AA1,MAP3K8
643,HSP90AA1,MERTK
644,HSP90AA1,DYRK4
645,HSP90AA1,LCK
646,HSP90AA1,TIE1
647,HSP90AA1,NPRL2
648,HSP90AA1,CDK9
649,HSP90AA1,MAPK7
650,HSP90AA1,FGFR3
651,HSP90AA1,TESK2
652,HSP90AA1,PRKAA1
653,HSP90AA1,MAP3K6
654,HSP90AA1,TNK1
655,HSP90AA1,EPHB6
656,HSP90AA1,CDK7
657,HSP90AA1,CSF1R
658,HSP90AA1,MAP3K12
659,HSP90AA1,EPHB1
660,HSP90AA1,ACVR1C
661,HSP90AA1,DDR2
662,HSP90AA1,FASTK
663,HSP90AA1,MYLK4
664,HSP90AA1,KSR2
665,HSP90AA1,BMPR1A
666,HSP90AA1,FRK
667,HSP90AA1,PRKY
668,HSP90AA1,MOS
669,HSP90AA1,MAP3K15
670,HSP90AA1,TSSK6
671,HSP90AA1,MYO3B
672,HSP90AA1,MAP2K5
673,HSP90AA1,SGK2
674,HSP90AA1,GSK3A
675,HSP90AA1,INSRR
676,HSP90AA1,ALPK1
677,HSP90AA1,GRK4
678,HSP90AA1,SGK1
679,HSP90AA1,TNNI3K
680,HSP90AA1,TSSK2
681,HSP90AA1,TNK2
682,HSP90AA1,AXL
683,HSP90AA1,ERBB3
684,HSP90AA1,FGFR1
685,HSP90AA1,MATK
686,HSP90AA1,ITK
687,HSP90AA1,CLK3
688,HSP90AA1,NTRK3
689,HSP90AA1,EIF2AK1
690,HSP90AA1,FLT4
691,HSP90AA1,CSNK1A1
692,HSP90AA1,ACVR1B
693,HSP90AA1,DCLK2
694,HSP90AA1,NTRK2
695,HSP90AA1,STK11
696,HSP90AA1,MAP4K4
697,HSP90AA1,NTRK1
698,HSP90AA1,ACVR2B
699,HSP90AA1,RIPK1
700,HSP90AA1,SGK3
701,HSP90AA1,MAP3K2
702,HSP90AA1,ABL1
703,HSP90AA1,TYK2
704,HSP90AA1,CAMKK1
705,HSP90AA1,NEK11
706,HSP90AA1,KSR1
707,HSP90AA1,TBK1
708,HSP90AA1,PRKCB
709,HSP90AA1,WNK4
710,HSP90AA1,SRPK1
711,HSP90AA1,ERBB2
712,HSP90AA1,STYK1
713,HSP90AA1,HCK
714,HSP90AA1,AURKC
715,HSP90AA1,BTK
716,HSP90AA1,PRKG2
717,HSP90AA1,CDK4
718,HSP90AA1,MAP2K7
719,HSP90AA1,MAPK15
720,HSP90AA1,LYN
721,HSP90AA1,PRKX
722,HSP90AA1,JAK1
723,HSP90AA1,TP53RK
724,HSP90AA1,FBXW2
725,HSP90AA1,CUL3
726,HSP90AA1,CUL4B
727,HSP90AA1,FBXO38
728,HSP90AA1,FBXO25
729,HSP90AA1,SKP2
730,HSP90AA1,TRIM56
731,HSP90AA1,KLHL38
732,HSP90AA1,FBXO24
733,HSP90AA1,FBXL3
734,HSP90AA1,FBXW11
735,HSP90AA1,WSB2
736,HSP90AA1,KBTBD4
737,HSP90AA1,FBXL2
738,HSP90AA1,FBXL12
739,HSP90AA1,KLHL6
740,HSP90AA1,ENC1
741,HSP90AA1,KCTD8
742,HSP90AA1,GAN
743,HSP90AA1,KLHL25
744,HSP90AA1,FBXL14
745,HSP90AA1,FBXW7
746,HSP90AA1,FBXO9
747,HSP90AA1,KLHL22
748,HSP90AA1,PRPF19
749,HSP90AA1,KLHL26
750,HSP90AA1,RAPSN
751,HSP90AA1,FBXO18
752,HSP90AA1,FBXL15
753,HSP90AA1,KLHL10
754,HSP90AA1,FBXL8
755,HSP90AA1,TRIM17
756,HSP90AA1,FBXL18
757,HSP90AA1,KLHL36
758,HSP90AA1,LNX1
759,HSP90AA1,RNF19B
760,HSP90AA1,ASB4
761,HSP90AA1,RNF10
762,HSP90AA1,BTRC
763,HSP90AA1,KLHL34
764,HSP90AA1,ARMC5
765,HSP90AA1,DET1
766,HSP90AA1,KLHL14
767,HSP90AA1,VPS18
768,HSP90AA1,FBXO28
769,HSP90AA1,FBXO17
770,HSP90AA1,RFWD3
771,HSP90AA1,FBXO27
772,HSP90AA1,FBXL13
773,HSP90AA1,ASB2
774,HSP90AA1,NHLRC1
775,HSP90AA1,SF3B3
776,HSP90AA1,KBTBD7
777,HSP90AA1,FBXO3
778,HSP90AA1,RAB40A
779,HSP90AA1,ANAPC2
780,HSP90AA1,AREL1
781,HSP90AA1,KLHL15
782,HSP90AA1,WWP1
783,HSP90AA1,PCGF1
784,HSP90AA1,HECTD3
785,HSP90AA1,TRIM49
786,HSP90AA1,KLHL1
787,HSP90AA1,TRIM10
788,HSP90AA1,KLHL23
789,HSP90AA1,TRIM2
790,HSP90AA1,ZBTB20
791,HSP90AA1,KLHL29
792,HSP90AA1,KLHL32
793,HSP90AA1,SH3RF2
794,HSP90AA1,LGALS3BP
795,HSP90AA1,ASB3
796,HSP90AA1,CUL2
797,HSP90AA1,KLHL13
798,HSP90AA1,PCGF3
799,HSP90AA1,HERC6
800,HSP90AA1,RHOBTB1
801,HSP90AA1,FBXO40
802,HSP90AA1,FBXW5
803,HSP90AA1,KCNG1
804,HSP90AA1,SPSB3
805,HSP90AA1,TRIM36
806,HSP90AA1,ZBTB17
807,HSP90AA1,DTX4
808,HSP90AA1,ASB6
809,HSP90AA1,FBXO6
810,HSP90AA1,ZBTB49
811,HSP90AA1,MARCH9
812,HSP90AA1,LRSAM1
813,HSP90AA1,FBXO4
814,HSP90AA1,TRIM32
815,HSP90AA1,TNFAIP3
816,HSP90AA1,PARK2
817,HSP90AA1,TRIM74
818,HSP90AA1,RCBTB2
819,HSP90AA1,RCBTB1
820,HSP90AA1,VPS41
821,HSP90AA1,ASB17
822,HSP90AA1,KCNA5
823,HSP90AA1,CUL1
824,HSP90AA1,PCGF6
825,HSP90AA1,KCNS3
826,HSP90AA1,TRIM73
827,HSP90AA1,SPSB1
828,HSP90AA1,KCNA6
829,HSP90AA1,SOCS6
830,HSP90AA1,HERC4
831,HSP90AA1,TRIM41
832,HSP90AA1,TRIM7
833,HSP90AA1,G2E3
834,HSP90AA1,RNF111
835,HSP90AA1,RNF40
836,HSP90AA1,MDM4
837,HSP90AA1,FBXO34
838,HSP90AA1,FBXO10
839,HSP90AA1,TRIM37
840,HSP90AA1,CUL4A
841,HSP90AA1,RGS11
842,HSP90AA1,RGS6
843,HSP90AA1,PREB
844,HSP90AA1,ZBED4
845,HSP90AA1,RAG1
846,HSP90AA1,ZC3H7B
847,HSP90AA1,FOXD4L6
848,HSP90AA1,NR3C2
849,HSP90AA1,POGK
850,HSP90AA1,NR1H3
851,HSP90AA1,RGS7
852,HSP90AA1,PRDM1
853,HSP90AA1,STAT2
854,HSP90AA1,NR2C2
855,HSP90AA1,GTF2IRD2
856,HSP90AA1,DLX6
857,HSP90AA1,NR1I3
858,HSP90AA1,HP1BP3
859,HSP90AA1,SREBF1
860,HSP90AA1,NFRKB
861,HSP90AA1,KAT5
862,HSP90AA1,IRF2
863,HSP90AA1,TFDP3
864,HSP90AA1,TEAD2
865,HSP90AA1,C20orf194
866,HSP90AA1,LARP4B
867,HSP90AA1,ZNF74
868,HSP90AA1,SIM2
869,HSP90AA1,NR1I2
870,HSP90AA1,HMGA1
871,HSP90AA1,TBX22
872,HSP90AA1,BBX
873,HSP90AA1,CXXC1
874,HSP90AA1,DMRTA1
875,HSP90AA1,SETDB1
876,HSP90AA1,NFIC
877,HSP90AA1,SLFN11
878,HSP90AA1,ZNF215
879,HSP90AA1,TCF25
880,HSP90AA1,ISX
881,HSP90AA1,TADA2A
882,HSP90AA1,ESR1
883,HSP90AA1,ATF3
884,HSP90AA1,THAP4
885,HSP90AA1,PPARD
886,HSP90AA1,CEBPE
887,HSP90AA1,FOXP2
888,HSP90AA1,MKX
889,HSP90AA1,MAX
890,HSP90AA1,TP53
891,HSP90AA1,FOXM1
892,HSP90AA1,MAFG
