,Official Symbol Interactor A,Official Symbol Interactor B
0,HSP90AA1,AR
1,FANCA,HSP90AA1
2,FANCC,HSP90AA1
3,SMYD3,HSP90AA1
4,HSP90AA1,SMYD3
5,HSP90AA1,CDC37
6,STARD13,HSP90AA1
7,BAG4,HSP90AA1
8,CHTF18,HSP90AA1
9,HSP90AA1,NOS3
10,NOS3,HSP90AA1
11,GUCY1B3,HSP90AA1
12,GUCY1B3,HSP90AA1
13,HSP90AA1,GUCY1B3
14,HCFC1,HSP90AA1
15,HSP90AA1,MYC
16,HSP90AA1,RALBP1
17,HSP90AA1,HSF1
18,HSP90AA1,TUBA1A
19,ESR1,HSP90AA1
20,FES,HSP90AA1
21,HSF1,HSP90AA1
22,P2rx7,HSP90AA1
23,P2rx7,HSP90AA1
24,HSP90AA1,CSNK2A1
25,HSP90AA1,CSNK2A2
26,HSP90AA1,TERT
27,HSP90AA1,AKT1
28,HSP90AA1,HSP90AA1
29,RPS3A,HSP90AA1
30,NR3C1,HSP90AA1
31,TP53,HSP90AA1
32,DAP3,HSP90AA1
33,HSP90AA1,DAP3
34,HSP90AA1,NR3C1
35,SIM1,HSP90AA1
36,HSP90AA1,MYOD1
37,STIP1,HSP90AA1
38,PIM1,HSP90AA1
39,PIM1,HSP90AA1
40,HSP90AA1,PIM1
41,ESR1,HSP90AA1
42,HSPA8,HSP90AA1
43,EPRS,HSP90AA1
44,EPRS,HSP90AA1
45,HSP90AA1,EPRS
46,HSP90AA1,EPRS
47,HSP90AA1,NR3C1
48,HSP90AA1,HSPA1A
49,SGTA,HSP90AA1
50,RAF1,HSP90AA1
51,APAF1,HSP90AA1
52,CUL4A,HSP90AA1
53,HSP90AA1,STAT3
54,AKT1,HSP90AA1
55,FNIP1,HSP90AA1
56,HSP90AA1,TERT
57,STIP1,HSP90AA1
58,TAH1,HSP90AA1
59,HSP90AA1,NR3C1
60,ERN1,HSP90AA1
61,HSP90AA1,ERN1
62,HSP90AA1,EIF2AK3
63,AKT1,HSP90AA1
64,IRS4,HSP90AA1
65,HSP90AA1,ARNTL
66,HSP90AA1,HIF1A
67,HSP90AA1,NPAS2
68,TP53,HSP90AA1
69,NR3C1,HSP90AA1
70,NR3C1,HSP90AA1
71,NR3C1,HSP90AA1
72,HSP90AA1,SRC
73,HSP90AA1,NOS3
74,HSP90AA1,NOS3
75,HSP90AA1,NOS3
76,AHR,HSP90AA1
77,CDC37,HSP90AA1
78,PPARA,HSP90AA1
79,PPARA,HSP90AA1
80,FKBP5,HSP90AA1
81,FKBP5,HSP90AA1
82,AR,HSP90AA1
83,GNA12,HSP90AA1
84,GNA12,HSP90AA1
85,TP53,HSP90AA1
86,HSP90AA1,AHSA1
87,HSP90AA1,AHSA2
88,HSP90AA1,AHSA2
89,HSP90AA1,AHSA1
90,HSP90AA1,AHSA1
91,HSP90AA1,PTGES3
92,HSP90AA1,ERBB2
93,RAF1,HSP90AA1
94,ERBB2,HSP90AA1
95,HSP90AA1,TGFBR1
96,HSP90AA1,TGFBR2
97,HSP90AA1,TJP1
98,TGFBR1,HSP90AA1
99,TGFBR2,HSP90AA1
100,HSP90AA1,TGFBR1
101,HSP90AA1,TGFBR2
102,FLT3,HSP90AA1
103,GUCY1A2,HSP90AA1
104,AR,HSP90AA1
105,DAPK1,HSP90AA1
106,STUB1,HSP90AA1
107,SWE1,HSP90AA1
108,HSP90AA1,RAF1
109,HSP90AA1,ERBB2
110,HSP90AA1,AHSA1
111,HSP90AA1,PTGES3
112,HSP90AA1,CDC37
113,HSP90AA1,STIP1
114,RIPK1,HSP90AA1
115,MST1R,HSP90AA1
116,HSP90AA1,VCP
117,RAF1,HSP90AA1
118,HDAC6,HSP90AA1
119,RPS3,HSP90AA1
120,HSP90AA1,RPS3
121,HSP90AA1,HSPA4
122,HSP90AA1,RPS6
123,HSP90AA1,STUB1
124,HSP90AA1,UBE2N
125,SIN3A,HSP90AA1
126,PAK1,HSP90AA1
127,JUN,HSP90AA1
128,PRKCZ,HSP90AA1
129,ESR1,HSP90AA1
130,COPS3,HSP90AA1
131,HIF1A,HSP90AA1
132,STUB1,HSP90AA1
133,STUB1,HSP90AA1
134,ESR1,HSP90AA1
135,PPP5C,HSP90AA1
136,CDK11B,HSP90AA1
137,TTI2,HSP90AA1
138,HDAC6,HSP90AA1
139,HIF1A,HSP90AA1
140,HIF1A,HSP90AA1
141,MGMT,HSP90AA1
142,MGMT,HSP90AA1
143,SP1,HSP90AA1
144,SP1,HSP90AA1
145,HIF1A,HSP90AA1
146,STK11,HSP90AA1
147,FKBP5,HSP90AA1
148,HSP90AA1,STIP1
149,FKBP4,HSP90AA1
150,AIP,HSP90AA1
151,ABL1,HSP90AA1
152,HSP90AA1,HDAC6
153,HDAC6,HSP90AA1
154,HSP90AA1,PTGES3
155,HSP90AA1,NR3C1
156,TSSK6,HSP90AA1
157,HIST3H3,HSP90AA1
158,HIST3H3,HSP90AA1
159,AKT1,HSP90AA1
160,CDC37,HSP90AA1
161,VEGFA,HSP90AA1
162,SMYD2,HSP90AA1
163,EGFR,HSP90AA1
164,ERBB2,HSP90AA1
165,HSP90AA1,PRMT5
166,HSP90AA1,RAF1
167,HSP90AA1,RAF1
168,HSP90AA1,ESR1
