,Official Symbol Interactor A,Official Symbol Interactor B
0,BAG1,HSPA8
1,HSPA8,HSPBP1
2,PPID,HSPA8
3,TCERG1,HSPA8
4,BRCA1,HSPA8
5,FANCC,HSPA8
6,PPP1R15A,HSPA8
7,HCFC1,HSPA8
8,HDAC3,HSPA8
9,P2rx7,HSPA8
10,P2rx7,HSPA8
11,CITED1,HSPA8
12,CITED1,HSPA8
13,HSPA8,NOA1
14,HSPA8,TM4SF1
15,HSPBP1,HSPA8
16,TADA3,HSPA8
17,HSPA8,ERH
18,HSPA8,FBP1
19,HSPA8,UBC
20,RGS2,HSPA8
21,DNAJA3,HSPA8
22,HSPA8,DNAJA3
23,JAK2,HSPA8
24,DNAJB1,HSPA8
25,DNAJA1,HSPA8
26,CFTR,HSPA8
27,HSPA8,HSP90AA1
28,HSPA8,PPP1CA
29,HSPA8,PPP1R12B
30,RBX1,HSPA8
31,HSPA8,BAG2
32,HSPA8,BAG3
33,BAG1,HSPA8
34,BAG2,HSPA8
35,BAG3,HSPA8
36,BAG1,HSPA8
37,BAG2,HSPA8
38,BAG3,HSPA8
39,DNAJC3,HSPA8
40,CYCS,HSPA8
41,POLR3D,HSPA8
42,TP53,HSPA8
43,BAG4,HSPA8
44,TNFRSF1A,HSPA8
45,HSPA8,BAG4
46,STMN1,HSPA8
47,GOT2,HSPA8
48,STUB1,HSPA8
49,STUB1,HSPA8
50,STUB1,HSPA8
51,HSF1,HSPA8
52,BAG1,HSPA8
53,BAG1,HSPA8
54,PARK2,HSPA8
55,GPR37,HSPA8
56,PARK2,HSPA8
57,CDC5L,HSPA8
58,CDC5L,HSPA8
59,HGS,HSPA8
60,HNRNPD,HSPA8
61,MAPT,HSPA8
62,BAG1,HSPA8
63,RUVBL1,HSPA8
64,GPN1,HSPA8
65,RPAP1,HSPA8
66,PACSIN1,HSPA8
67,PACSIN2,HSPA8
68,PACSIN3,HSPA8
69,HDAC10,HSPA8
70,HDAC10,HSPA8
71,EGFR,HSPA8
72,MST1R,HSPA8
73,HSPA8,VCP
74,RFWD2,HSPA8
75,ESR1,HSPA8
76,CFTR,HSPA8
77,STUB1,HSPA8
78,ESR1,HSPA8
79,STUB1,HSPA8
80,SOD1,HSPA8
81,CDK11B,HSPA8
82,HSPA8,CCND1
83,HSPA8,CDK4
84,CCND1,HSPA8
85,CDK4,HSPA8
86,TSSK6,HSPA8
87,HIST3H3,HSPA8
88,HIST3H3,HSPA8
89,HSPA8,BAG1
90,MEN1,HSPA8
91,IL16,HSPA8
92,IL16,HSPA8
93,CENPA,HSPA8
94,STUB1,HSPA8
95,HSPA8,CFTR
96,HSPA8,CFTR
97,ESR1,HSPA8
98,HNRNPD,HSPA8
99,WDR82,HSPA8
100,HSP90AA1,HSPA8
101,RAF1,HSPA8
102,CDK5RAP3,HSPA8
103,FANCC,HSPA8
104,FANCC,HSPA8
105,STUB1,HSPA8
106,STUB1,HSPA8
107,HSPA8,STUB1
108,FGFR3,HSPA8
109,HSPA8,CFTR
110,ERG,HSPA8
111,HSPA8,ERG
112,USP50,HSPA8
113,STUB1,HSPA8
114,LALBA,HSPA8
115,CLTA,HSPA8
116,HSPA8,HTT
117,AGO4,HSPA8
118,CD4,HSPA8
119,DGCR8,HSPA8
120,MME,HSPA8
121,TLR4,HSPA8
122,TLR9,HSPA8
123,STUB1,HSPA8
124,STUB1,HSPA8
125,BAG3,HSPA8
126,MDM2,HSPA8
127,DYRK2,HSPA8
128,UBE3A,HSPA8
129,HSPA8,UBE3A
130,YWHAQ,HSPA8
131,INSIG2,HSPA8
132,HMGB1,HSPA8
133,BAG1,HSPA8
134,HSPA8,BCR
135,HSPA8,ABL1
136,HSPA8,BCR
137,HSPA8,ABL1
138,HLA-DRA,HSPA8
