,Official Symbol Interactor A,Official Symbol Interactor B
0,RAB5C,SUN2
1,OSGEP,RAB5C
2,ARRB2,RAB5C
3,DSTYK,RAB5C
4,RAB5C,EEA1
5,RAB5C,RBSN
6,Rab5c,RAB5C
7,CDK2,RAB5C
8,SGSM3,RAB5C
9,TBC1D15,RAB5C
10,TBC1D17,RAB5C
11,RAB5C,APP
12,FLOT1,RAB5C
13,HNRNPH1,RAB5C
14,LAMTOR3,RAB5C
15,ZMPSTE24,RAB5C
16,FN1,RAB5C
17,VCAM1,RAB5C
18,ITGA4,RAB5C
19,ATP4A,RAB5C
20,RPA1,RAB5C
21,RPA2,RAB5C
22,RPA3,RAB5C
23,STAU1,RAB5C
24,RAB5C,APPL2
25,MOV10,RAB5C
26,NXF1,RAB5C
27,CUL7,RAB5C
28,CCDC8,RAB5C
29,RAB5C,ARF1
30,RAB5C,ARL8A
31,RAB5C,ETFA
32,RAB5C,LDHA
33,RAB5C,LDHAL6A
34,RAB5C,LDHAL6B
35,RAB5C,LDHB
36,RAB5C,PSMC2
37,RAB5C,RAB1A
38,RAB5C,RAB1B
39,RAB5C,RAB2A
40,LGALS1,RAB5C
41,RAB10,RAB5C
42,RAB11A,RAB5C
43,RAB11B,RAB5C
44,RAB7A,RAB5C
45,RAP1A,RAB5C
46,RAP1B,RAB5C
47,VAPA,RAB5C
48,RAB5C,RAB8A
49,RAB5C,RAB8B
50,RAB5C,RPN1
51,RAB5C,UQCRC2
52,NTRK1,RAB5C
53,RAB5C,ATP6V1A
54,RAB5C,ATP6V1B2
55,RAB5C,ATP6V0A1
56,RAB5C,CAV1
57,RAB5C,CLCN7
58,RAB5C,COX5B
59,RAB5C,COX6B1
60,RAB5C,FLOT2
61,RAB5C,H3F3A
62,RAB5C,IGF2R
63,RAB5C,NDUFA7
64,RAB5C,NDUFB7
65,RAB5C,NDUFS1
66,RAB5C,NDUFS5
67,RAB5C,CHMP1A
68,RAB5C,PHB
69,RAB5C,PPIA
70,GDI1,RAB5C
71,RAB5A,RAB5C
72,ATL3,RAB5C
73,GOLT1B,RAB5C
74,LIMA1,RAB5C
75,RAB5C,RAD51
76,RAB5C,SMARCA4
77,RAB5C,SMARCC1
78,RAB5C,SOAT1
79,RAB5C,SS18
80,RAB5C,TFRC
81,RAB5C,TTC3
82,RAB5C,VDAC1
83,RAB5C,VDAC2
84,RAB5C,STX7
85,RAB5C,GPRC5A
86,RAB5C,ATP6V0D1
87,RAB5C,XPR1
88,RAB5C,COPS2
89,RAB5C,GOSR1
90,RAB5C,CLINT1
91,RAB5C,NOS1AP
92,RAB5C,PIEZO1
93,RAB5C,IST1
94,RAB5C,C2CD5
95,RAB5C,FLOT1
96,RAB5C,CKAP4
97,RAB5C,TMED10
98,RAB5C,IMMT
99,RAB5C,RASSF8
100,RAB5C,PHB2
101,RAB5C,KDM2A
102,RAB5C,WDFY3
103,RAB5C,FAF2
104,RAB5C,SCFD1
105,RAB5C,HAUS5
106,RAB5C,GLTSCR1L
107,RAB5C,SUN2
108,RAB5C,GCA
109,RAB5C,LETMD1
110,RAB5C,CHMP2B
111,RAB5C,MYOF
112,RAB5C,ATP2C1
113,RAB5C,CHMP2A
114,RAB5C,SGSM3
115,RAB5C,ABT1
116,RAB5C,STOML2
117,RAB5C,NDUFB11
118,RAB5C,CHCHD3
119,RAB5C,OCIAD1
120,RAB5C,RMDN3
121,RAB5C,IMPACT
122,RAB5C,TTC17
123,RAB5C,MUC13
124,RAB5C,BBX
125,RAB5C,KIDINS220
126,RAB5C,SUGP1
127,RAB5C,MRPS14
128,RAB5C,SLC35E1
129,RAB5C,YIPF5
130,RAB5C,ZCRB1
131,RAB5C,GADD45GIP1
132,RAB5C,ACBD5
133,RAB5C,SLC38A5
134,RAB5C,PRKCDBP
135,RAB5C,LRR1
136,RAB5C,MRPL55
137,RAB5C,CHMP4B
138,RAB5C,MITD1
139,RAB5C,PTRF
140,RAB5C,RAB43
141,Actb,RAB5C
142,Rab5b,RAB5C
143,Kctd5,RAB5C
144,Flnb,RAB5C
145,Ksr1,RAB5C
146,CDC73,RAB5C
147,DUSP22,RAB5C
148,DUSP8,RAB5C
149,DUSP9,RAB5C
150,RAB5A,RAB5C
151,SUN2,RAB5C
152,RAB5C,CHM
153,RAB5C,GDI1
154,RAB5C,GNAT3
155,RAB5C,CHML
156,RAB5C,GDI2
157,PTPN1,RAB5C
158,DLD,RAB5C
159,DLST,RAB5C
160,PDHA1,RAB5C
