,Official Symbol Interactor A,Official Symbol Interactor B
0,RB1,TRAP1
1,TNFRSF1A,TRAP1
2,ALOX5,TGFBRAP1
3,TRAP1,RB1
4,TRAP1,RB1
5,RB1,TRAP1
6,SF3A2,TRAP1
7,EXT2,TRAP1
8,EXT2,TRAP1
9,EXT1,TRAP1
10,EXT1,TRAP1
11,TGFBRAP1,SMAD4
12,SMAD4,TGFBRAP1
13,HGS,TRAP1
14,UVRAG,TGFBRAP1
15,H2AFX,TRAP1
16,UBC,TRAP1
17,RYK,TRAP1
18,HDAC5,TRAP1
19,AI837181,TRAP1
20,RAD21,TRAP1
21,CUL3,TRAP1
22,CUL5,TRAP1
23,TRAP1,PSMC4
24,PSMC4,TRAP1
25,TRAP1,PSMC4
26,TRAP1,APP
27,TRAP1,WDHD1
28,TRAP1,VDAC2
29,TRAP1,VAMP2
30,VCP,HSP90B2P
31,TRAF3IP1,TRAP1
32,FN1,TRAP1
33,C1QBP,TRAP1
34,ESX1,TRAP1
35,TPM3,TRAP1
36,FBXO6,TRAP1
37,TRAP1,EIF4A1
38,TRAP1,EEF1G
39,TRAP1,EEF1A1
40,EEF1A1,TRAP1
41,TRAP1,HSPA5
42,TRAP1,GAPDH
43,TRAP1,RPS19
44,TRAP1,RPL7A
45,TRAP1,EIF2AK4
46,TRAP1,FKBP5
47,MAGED2,TRAP1
48,OGFR,TRAP1
49,USP7,TRAP1
50,CDK4,TRAP1
51,PRKACB,TRAP1
52,CDK9,TRAP1
53,CDK5,TRAP1
54,CEP250,TRAP1
55,CEP72,TRAP1
56,LGALS3BP,TRAP1
57,NXF1,TRAP1
58,CUL7,TRAP1
59,OBSL1,TRAP1
60,CCDC8,TRAP1
61,VPS41,TGFBRAP1
62,NRBF2,TGFBRAP1
63,VPS11,TGFBRAP1
64,DND1,TRAP1
65,ACVR1,TGFBRAP1
66,TRAP1,ALDOA
67,TRAP1,ALDOC
68,TRAP1,COQ3
69,TRAP1,COX6B1
70,TRAP1,DUT
71,TRAP1,GAPDH
72,TRAP1,GLRX
73,TRAP1,IQGAP1
74,TRAP1,LTA4H
75,TRAP1,PRDX5
76,AK2,TRAP1
77,ASNS,TRAP1
78,CFL1,TRAP1
79,HSDL2,TRAP1
80,PCMT1,TRAP1
81,PKM,TRAP1
82,RPE,TRAP1
83,SOD1,TRAP1
84,UFM1,TRAP1
85,NTRK1,TRAP1
86,TGFBR1,TGFBRAP1
87,TGFBR2,TGFBRAP1
88,VPS11,TGFBRAP1
89,VPS18,TGFBRAP1
90,VPS16,TGFBRAP1
91,CRKL,TRAP1
92,MKNK2,TRAP1
93,KIF2A,TRAP1
94,PAX6,TRAP1
95,FAN1,TRAP1
96,DNAJC11,TRAP1
97,Vps41,TGFBRAP1
98,Ppp6r1,TRAP1
99,GAN,TRAP1
100,SNW1,TRAP1
101,CDC5L,TRAP1
102,VPS11,TGFBRAP1
103,VPS8,TGFBRAP1
104,VPS33A,TGFBRAP1
105,VPS11,TGFBRAP1
106,VPS41,TGFBRAP1
107,ISOC2,TGFBRAP1
108,C15orf27,TGFBRAP1
109,NRBF2,TGFBRAP1
110,ARFGAP1,TGFBRAP1
111,ACVR1,TGFBRAP1
112,C7orf60,TGFBRAP1
113,CROCC,TGFBRAP1
114,PA2G4,TRAP1
115,SND1,TRAP1
116,ANXA5,TRAP1
117,SNRPB2,TRAP1
118,EIF5B,TRAP1
119,GPI,TRAP1
120,IDH2,TRAP1
121,TRAP1,PDIA3
122,UBE2N,TRAP1
123,MRPL12,TRAP1
124,CRNN,TRAP1
125,ZNF207,TRAP1
126,CPNE3,TRAP1
127,CS,TRAP1
128,PYGL,TRAP1
129,SF3A3,TRAP1
130,DNAJC8,TRAP1
131,TRAP1,PLS3
132,CPSF6,TRAP1
133,NANS,TRAP1
134,SF3A1,TRAP1
135,ECHS1,TRAP1
136,SRP68,TRAP1
137,MYL12B,TRAP1
138,AIMP1,TRAP1
139,CBS,TRAP1
140,COQ2,TRAP1
141,COX15,TRAP1
142,DLD,TRAP1
143,DLST,TRAP1
144,HSD17B10,TRAP1
145,PARK7,TRAP1
146,PDHA1,TRAP1
147,SOAT1,TRAP1
148,SOD1,TRAP1
149,VDAC1,TRAP1
