,Official Symbol Interactor A,Official Symbol Interactor B
0,MAGEA4,UQCRB
1,MAGEA4,TRIM69
2,MAGEA4,TEKT4
3,MAGEA4,HLA-A
4,POT1,MAGEA4
5,PSMD10,MAGEA4
6,PSMD10,MAGEA4
7,MAGEA4,PSMD10
8,HLA-A,MAGEA4
9,MAGEA4,APP
10,ARNT2,MAGEA4
11,GTF3C1,MAGEA4
12,MAGEA4,TK1
13,MAGEA4,UQCRB
14,MAGEA4,WBP2
15,MAGEA4,AMOTL2
16,MAGEA4,UBXN6
17,MAGEA4,BEX2
18,MAGEA4,TIGD5
19,MAGEA4,TRIM69
20,MAGEA4,TEKT4
21,MAGEA4,AMOT
22,MAGEA4,UQCRB
23,MAGEA4,PPP1R13L
24,MAGEA4,MAGEB16
25,MAGEA4,MAGEA9B
26,MAGEA4,MAGEA10
27,MAGEA4,MDM1
28,MAGEA4,FXR1
29,MAGEA4,AMOTL1
30,MAGEA4,AMOT
31,MAGEA4,TIGD5
32,MAGEA4,IQGAP1
33,MAGEA4,RAD18
34,MAGEA4,TSPYL4
35,MAGEA4,RPL7L1
36,MAGEA4,DCAF6
37,MAGEA4,TSPYL1
38,MAGEA4,CCDC85B
39,ZBTB17,MAGEA4
40,MAGEA4,ZBTB17
41,TRIM69,MAGEA4
42,WBP2,MAGEA4
43,MAGEA4,MAGEA10
44,MAGEA4,TSPYL4
45,MAGEA4,PPP1R13L
46,MAGEA4,MAGEA9B
47,MAGEA4,MAGEB16
48,MAGEA4,MDM1
49,MAGEA4,RAD18
50,MAGEA4,UQCRB
51,MAGEA4,TIGD5
52,MAGEA4,CCDC85B
53,MAGEA4,AMOTL1
54,MAGEA4,DCAF6
55,MAGEA4,FXR1
56,MAGEA4,RPL7L1
57,MAGEA4,IQGAP1
58,MAGEA4,TSPYL1
59,MAGEA4,AMOT
