,Official Symbol Interactor A,Official Symbol Interactor B
0,IKBKE,HYOU1
1,EXT2,HYOU1
2,H2AFX,HYOU1
3,SARM1,HYOU1
4,SIRT7,HYOU1
5,CDK2,HYOU1
6,FBXO6,HYOU1
7,HYOU1,POLR1C
8,HYOU1,NUP37
9,OS9,HYOU1
10,env,HYOU1
11,HYOU1,ARMCX3
12,HYOU1,BCAR1
13,HYOU1,BIN1
14,ATP6V1B2,HYOU1
15,ATP6V1F,HYOU1
16,GANAB,HYOU1
17,MCM7,HYOU1
18,HYOU1,KIF13A
19,HYOU1,MCM2
20,HYOU1,MSH6
21,HYOU1,XRCC5
22,HYOU1,XRCC6
23,CLU,HYOU1
24,CLU,HYOU1
25,HSPA8,HYOU1
26,HSPA8,HYOU1
27,MOV10,HYOU1
28,NXF1,HYOU1
29,CUL7,HYOU1
30,EZH2,HYOU1
31,RNF2,HYOU1
32,EGFR,HYOU1
33,SCNN1A,HYOU1
34,YAP1,HYOU1
35,HYOU1,DNAJB11
36,HYOU1,DNAJC7
37,HYOU1,ETF1
38,HYOU1,HK1
39,HYOU1,HK2
40,C1orf123,HYOU1
41,DNAJA1,HYOU1
42,DNAJA4,HYOU1
43,DNAJB1,HYOU1
44,DNAJB4,HYOU1
45,DNAJB5,HYOU1
46,DNAJC17,HYOU1
47,DNAJC2,HYOU1
48,DNAJC3,HYOU1
49,DNAJC8,HYOU1
50,DNAJC9,HYOU1
51,NAPA,HYOU1
52,SEL1L,HYOU1
53,HYOU1,NUP205
54,NTRK1,HYOU1
55,EWSR1,HYOU1
56,OFD1,HYOU1
57,TCTN2,HYOU1
58,TCTN3,HYOU1
59,CNTRL,HYOU1
60,FBF1,HYOU1
61,NPHP1,HYOU1
62,DCTN1,HYOU1
63,TCTN1,HYOU1
64,GBA,HYOU1
65,HSPA5,HYOU1
66,GOLT1B,HYOU1
67,SGTB,HYOU1
68,RFWD3,HYOU1
69,Bmpr1a,HYOU1
70,Itgb1,HYOU1
71,Tpm4,HYOU1
72,SEL1L,HYOU1
73,HYOU1,SEL1L
74,HYOU1,SEL1L
75,PTPRN,HYOU1
76,PTPRO,HYOU1
77,DLD,HYOU1
78,DLST,HYOU1
