,Official Symbol Interactor A,Official Symbol Interactor B
0,HDAC1,HSPD1
1,HSPD1,HIST2H2BE
2,NR3C1,HSPD1
3,STIP1,HSPA14
4,DHFR,HSPD1
5,DHFR,HSPD1
6,CA2,HSPD1
7,HSPD1,BAK1
8,HSPD1,BAX
9,HSPD1,CASP3
10,HSPD1,HSPE1
11,CASP3,HSPD1
12,ALDH2,HSPD1
13,HSPD1,ALDH2
14,HSPD1,HSPE1
15,HSPD1,HSPE1
16,SF3A2,HSPD1
17,CASP3,HSPD1
18,AMFR,HSPD1
19,RPAP1,HSPD1
20,HNRNPH1,HSPD1
21,CDK9,HSPD1
22,ALK,HSPD1
23,HSPD1,ALK
24,MAPK6,HSPD1
25,SRRM2,HSPD1
26,STUB1,HSPD1
27,HSPD1,STUB1
28,HSPD1,APP
29,UBC,HSPD1
30,MYC,HSPD1
31,PPP2R2C,HSPD1
32,ICT1,HSPD1
33,CD4,HSPD1
34,HDAC5,HSPD1
35,SPG20,HSPD1
36,SIRT1,HSPD1
37,SIRT3,HSPD1
38,EBNA-LP,HSPD1
39,EBNA-LP,HSPD1
40,PSMA3,HSPD1
41,PCK1,HSPD1
42,SIRT3,HSPD1
43,SIRT3,HSPD1
44,PARD3,HSPD1
45,ISG15,HSPD1
46,HSPD1,ISG15
47,CUL1,HSPD1
48,CUL3,HSPD1
49,ASB9,HSPD1
50,ASB9,HSPD1
51,CUL3,HSPD1
52,CUL4A,HSPD1
53,CUL2,HSPD1
54,CDK2,HSPD1
55,COPS5,HSPD1
56,CAND1,HSPD1
57,NEDD8,HSPD1
58,LRRK2,HSPD1
59,CLU,HSPD1
60,CLU,HSPD1
61,CLU,HSPD1
62,GRB2,HSPD1
63,HSPD1,APP
64,HSPE1,HSPD1
65,HSPD1,HSPA5
66,HSPD1,HSPA9
67,HSPD1,HSPA8
68,HSPD1,HNRNPA2B1
69,HSPD1,ITGB1
70,HSPD1,PUF60
71,HSPD1,DDX17
72,HSPD1,GAPDH
73,HSPD1,EEF1B2
74,HSPD1,HSP90AB1
75,HSPD1,HEXIM1
76,HSPD1,EEF2
77,HSPD1,SEPT9
78,HSPD1,CXorf56
79,HSPD1,MCCC2
80,HSPD1,SCARB2
81,HSPD1,SAP30BP
82,HSPD1,UBR4
83,HSPD1,FTL
84,HSPD1,NCAPD2
85,HSPD1,PTPN2
86,HSPD1,COLGALT1
87,HSPD1,RAB5B
88,ALDOA,HSPD1
89,HSPD1,GID8
90,HSPA14,PAF1
91,HSPD1,STRN4
92,HSPD1,LAMB1
93,HSPD1,PPA1
94,HSPD1,PLOD3
95,HSPD1,SARNP
96,HSPD1,HSPA1A
97,BARD1,HSPA14
98,BRCA1,HSPA14
99,PAXIP1,HSPA14
100,SMURF1,HSPD1
101,RAF1,HSPD1
102,FN1,HSPD1
103,VCAM1,HSPD1
104,CDH1,HSPD1
105,C1QBP,HSPD1
106,ATF2,HSPD1
107,NOS2,HSPD1
108,METTL20,HSPD1
109,METTL21B,HSPD1
110,UBL4A,HSPD1
111,ITGA4,HSPD1
112,HCVgp1,HSPD1
113,CFTR,HSPD1
114,PAN2,HSPD1
115,PLG,HSPD1
116,PLG,HSPD1
117,RAD52,HSPD1
118,BCR,HSPD1
119,ABL1,HSPD1
120,ADRB2,HSPD1
121,HSPE1,HSPD1
122,BRCA1,HSPD1
123,CLEC7A,HSPD1
124,BRCA1,HSPD1
125,FBXO6,HSPD1
126,PARK2,HSPD1
127,HSPD1,ATP6V1A
128,C12orf10,HSPD1
129,DDX39B,HSPD1
130,EIF4E,HSPD1
131,EIF5A,HSPD1
132,GDA,HSPD1
133,GSR,HSPD1
134,MAPK14,HSPD1
135,NAGK,HSPD1
136,OXCT1,HSPD1
137,PTMS,HSPD1
138,RAB1B,HSPD1
139,C11orf58,HSPD1
140,SMS,HSPD1
141,THOP1,HSPD1
142,HSPD1,PDIA3
143,ERG,HSPD1
144,ERG,HSPD1
145,ASB4,HSPD1
146,LGR4,HSPD1
147,UBC,HSPD1
148,STAU1,HSPD1
149,AURKA,HSPD1
150,AURKB,HSPD1
151,CDC20,HSPD1
152,LGALS3BP,HSPD1
153,TUBG1,HSPD1
154,TUBGCP3,HSPD1
155,VCP,HSPD1
156,HUWE1,HSPD1
157,FUS,HSPD1
158,HSPD1,KRTAP5-9
159,HSPD1,KRT31
160,HSPD1,RGS20
161,HSPD1,TMCC2
162,HSPD1,CEP70
163,HSPD1,LZTS2
164,HSPD1,KRT40
165,HSPD1,SAMD3
166,HSPD1,KRTAP10-8
167,HSPD1,KRTAP10-3
168,HSPD1,NOTCH2NL
169,MOV10,HSPD1
170,NXF1,HSPD1
171,CUL7,HSPD1
172,OBSL1,HSPD1
173,CCDC8,HSPD1
174,EED,HSPD1
175,env,HSPD1
176,TRIM63,HSPD1
177,LRRC28,HSPD1
178,NFAM1,HSPA14
179,SLC25A41,HSPD1
180,ATP5F1,HSPD1
181,METTL20,HSPD1
182,TAZ,HSPD1
183,FBXO17,HSPD1
