,Official Symbol Interactor A,Official Symbol Interactor B
0,PUF60,OLA1
1,OLA1,PRMT5
2,ASCC2,OLA1
3,BCL6,OLA1
4,RAD21,OLA1
5,GRK5,OLA1
6,NDUFA7,OLA1
7,GAPDH,OLA1
8,ALDOC,OLA1
9,NDUFA2,OLA1
10,ARPC1A,OLA1
11,OLA1,HSPA4
12,HSPA4,OLA1
13,OLA1,STUB1
14,FN1,OLA1
15,gag,OLA1
16,SOX2,OLA1
17,OLA1,HMGA1
18,BAG3,OLA1
19,OLA1,ACAT2
20,OLA1,ASNS
21,SNRPE,OLA1
22,YWHAZ,OLA1
23,OLA1,HDGF
24,OLA1,MAPRE1
25,GSS,OLA1
26,RAP1GDS1,OLA1
27,OLA1,SNRPF
28,OLA1,TXNRD1
29,ZNF346,OLA1
30,BRCA1,OLA1
31,TUBG1,OLA1
32,OLA1,TUBG1
33,OLA1,TUBG1
34,OLA1,BRCA1
35,OLA1,BARD1
36,BARD1,OLA1
37,BARD1,OLA1
38,OLA1,BARD1
39,BRCA1,OLA1
40,HUWE1,OLA1
41,CUL7,OLA1
42,OLA1,BCAP31
43,GNL3L,OLA1
44,HSPB1,OLA1
45,OLA1,PHB
46,OLA1,TUBB
47,NTRK1,OLA1
48,EWSR1,OLA1
49,SNW1,OLA1
50,WWP2,OLA1
51,CDH1,OLA1
52,OLA1,PRPF31
53,PRPF3,OLA1
54,PRPF4,OLA1
55,OLA1,ALYREF
56,OLA1,LSM4
57,OLA1,LSM8
58,OLA1,RPL26L1
59,OLA1,SART3
60,PPIH,OLA1
61,DLD,OLA1
